,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,25-02-2020 14:55:16,Tbilisi,ce6827deee,Метадон - 0.12 г Новая партия!,True,10,нет,Тбилиси,0.12 гр,0.0102,7141,2703,245,110.0,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,1,25-02-2020 14:55:16,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,1,нет,Тбилиси,0.25 гр,0.0102,6492,2457,222,100.0,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
2,2,25-02-2020 14:55:16,Tbilisi,366326d4d6,"0,5 g MDMA - !!!NEW!!! - Purity 93%",True,1,нет,Тбилиси,0.5 гр,0.0071,4480,1695,154,69.0,,,,,,,,,"0,5 g MDMA - !!!NEW!!! - Purity 93%"
3,3,25-02-2020 14:55:16,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,5,нет,Тбилиси,0.5 гр,0.0092,6427,2432,220,99.0,,,,,,,,,Cocaine Pure VHQ 0.5g
4,4,25-02-2020 14:55:16,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0107,7076,2678,242,109.0,,,,,,,,,Pure COCAINE VHQ 0.5g
5,5,25-02-2020 14:55:16,Tbilisi,1c14effaaa,Silver Haze | 90% sativa 10% indica | 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0027,1883,713,65,29.0,,,,,,,,,Silver Haze | 90% sativa 10% indica | 0.5g
6,6,25-02-2020 14:55:16,Tbilisi,edfbad0151,THC Snow Buds Only 0.5 G (THC 23+%),True,11,нет,Тбилиси,0.5 гр,0.0031,1948,737,67,30.0,,,,,,,,,THC Snow Buds Only 0.5 G (THC 23+%)
7,7,25-02-2020 14:55:16,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука),True,6,нет,Тбилиси,0.8 гр,0.0153,9738,3686,334,150.0,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka)
8,8,25-02-2020 14:55:16,Tbilisi,4a91350669,1 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,5,нет,Тбилиси,1 гр,0.0101,6427,2432,220,99.0,,,,,,,,,1 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
9,9,25-02-2020 14:55:16,Tbilisi,7c395c455d,1 gr mdma Кристаллы очен силни импорт с европи,True,2,нет,Тбилиси,1 гр,0.0122,7791,2948,267,120.0,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
10,10,25-02-2020 14:55:16,Tbilisi,4a91350669,1 gr гашиш VHQ gorilla glue hash тгк 28 %,True,4,нет,Тбилиси,1 гр,0.0092,5843,2211,200,90.0,,,,,,,,,1 gr gashish VHQ gorilla glue hash tgk 28 %
11,11,25-02-2020 14:55:16,Tbilisi,bb1791277e,1 gr сжатая марихуана EUPHORIA шишки low thc.,True,7,нет,Тбилиси,1 гр,0.0036,2272,860,78,35.0,,,,,,,,,1 gr szhataja marihuana EUPHORIA shishki low thc.
12,12,25-02-2020 14:55:16,Tbilisi,cb721d4bca,"1 mdma very strong best quality , import califronia , лучши мдма на саите",True,7,нет,Тбилиси,1 гр,0.0102,6492,2457,222,100.0,,,,,,,,,"1 mdma very strong best quality , import califronia , luchshi mdma na saite"
13,13,25-02-2020 14:55:16,Tbilisi,cb721d4bca,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,2,нет,Тбилиси,1 гр,0.0087,5518,2088,189,85.0,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
14,14,25-02-2020 14:55:16,Tbilisi,64284550d9,1G -- AK-47 -> Sativa,True,5,нет,Тбилиси,1 гр,0.0037,2402,909,82,37.0,,,,,,,,,1G -- AK-47 -> Sativa
15,15,25-02-2020 14:55:16,Tbilisi,8ddca45a78,1g BLUE CHEESE Indica THC 18% / BTC -10% sale,True,1,нет,Тбилиси,1 гр,0.0036,2532,958,87,39.0,,,,,,,,,1g BLUE CHEESE Indica THC 18% / BTC -10% sale
16,16,25-02-2020 14:55:16,Tbilisi,cb721d4bca,"1gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,3,нет,Тбилиси,1 гр,0.0094,5989,2267,205,,85.0,,,,,,,,"1gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
17,17,25-02-2020 14:55:16,Tbilisi,7c395c455d,1gr bubble hash thc 25% гашиш вишего качество HQ,True,9,нет,Тбилиси,1 гр,0.0087,5518,2088,189,85.0,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
18,18,25-02-2020 14:55:16,Tbilisi,7ee4f68218,1gr mdma (скидка в биткоин 5%),True,4,нет,Тбилиси,1 гр,0.0095,6341,2400,217,,90.0,,,,,,,,1gr mdma (skidka v bitkoin 5%)
19,19,25-02-2020 14:55:16,Tbilisi,cb721d4bca,"1gr mexica sativa марихуана шишки ,Оплата BITCOIN -10% Скидка.",True,1,нет,Тбилиси,1 гр,0.0036,2272,860,78,35.0,,,,,,,,,"1gr mexica sativa marihuana shishki ,Oplata BITCOIN -10% Skidka."
20,20,25-02-2020 14:55:16,Tbilisi,ae784bef73,Afghan HQ buds ! NEW ! 1G,True,6,нет,Тбилиси,1 гр,0.0048,3051,1155,105,47.0,,,,,,,,,Afghan HQ buds ! NEW ! 1G
21,21,25-02-2020 14:55:16,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,5,нет,Тбилиси,1 гр,0.0176,12335,4668,423,190.0,,,,,,,,,Cocaine Pure VHQ 1g
22,22,25-02-2020 14:55:16,Tbilisi,8219f5e7b8,"Cocaine, 1g",True,5,нет,Тбилиси,1 гр,0.0226,14283,5405,489,220.0,,,,,,,,,"Cocaine, 1g"
23,23,25-02-2020 14:55:16,Tbilisi,2fdc22f2b2,HASH Mexicana 1 g SALE -10% for bitcoin.,True,4,нет,Тбилиси,1 гр,0.0065,4580,1734,156,,65.0,,,,,,,,HASH Mexicana 1 g SALE -10% for bitcoin.
24,24,25-02-2020 14:55:16,Tbilisi,8219f5e7b8,Ketamine 1g,True,1,нет,Тбилиси,1 гр,0.0103,6492,2457,222,100.0,,,,,,,,,Ketamine 1g
25,25,25-02-2020 14:55:16,Tbilisi,366326d4d6,Ketamine 1g.,True,1,нет,Тбилиси,1 гр,0.0092,5778,2187,198,89.0,,,,,,,,,Ketamine 1g.
26,26,25-02-2020 14:55:16,Tbilisi,8219f5e7b8,"LSD - 250 ug, 1piece",True,1,нет,Тбилиси,1 гр,0.0041,2597,983,89,40.0,,,,,,,,,"LSD - 250 ug, 1piece"
27,27,25-02-2020 14:55:16,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,2,нет,Тбилиси,1 гр,0.0194,12919,4889,443,199.0,,,,,,,,,VHQ BEST Cocaine 1g.
28,28,25-02-2020 14:55:16,Tbilisi,61df6a1c90,Метадон 1гр,True,2,нет,Тбилиси,1 гр,0.0417,29215,11057,1001,450.0,,,,,,,,,Metadon 1gr
29,29,25-02-2020 14:55:16,Tbilisi,e8a987a33c,"Метадон, 1gr",True,3,нет,Тбилиси,1 гр,0.0407,25969,9828,890,400.0,,,,,,,,,"Metadon, 1gr"
30,30,25-02-2020 14:55:16,Tbilisi,7ee4f68218,🍃 1гр ГАШИШ 🍃,True,1,нет,Тбилиси,1 гр,0.0064,4220,1597,145,65.0,,,,,,,,,🍃 1gr GAShISh 🍃
31,31,25-02-2020 14:55:16,Tbilisi,4a91350669,2 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,1,нет,Тбилиси,2 гр,0.0192,12270,4644,420,189.0,,,,,,,,,2 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
32,32,25-02-2020 14:56:06,Tbilisi,7ee4f68218,"2 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,2,нет,Тбилиси,2 гр,0.0074,4932,1867,168,,70.0,,,,,,,,"2 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
33,33,25-02-2020 14:56:06,Tbilisi,64284550d9,2G -- AK-47 -> Sativa,True,11,нет,Тбилиси,2 гр,0.0065,4220,1597,145,65.0,,True,,,,,,,2G -- AK-47 -> Sativa
34,34,25-02-2020 14:56:06,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,4,нет,Тбилиси,2 гр,0.0081,5129,1941,176,79.0,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
35,35,25-02-2020 14:56:06,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,2,нет,Тбилиси,2 гр,0.037000000000000005,23372,8845,801,360.0,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
36,36,25-02-2020 14:56:06,Tbilisi,8219f5e7b8,"Cocaine, 2 g",True,1,нет,Тбилиси,2 гр,0.0411,25969,9828,890,400.0,,,,,,,,,"Cocaine, 2 g"
37,37,25-02-2020 14:56:06,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,3,нет,Тбилиси,2 гр,0.0348,22398,8477,767,345.0,,True,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
38,38,25-02-2020 14:56:06,Tbilisi,8219f5e7b8,Ketamine 2 g,True,5,нет,Тбилиси,2 гр,0.0185,11686,4423,400,180.0,,,,,,,,,Ketamine 2 g
39,39,25-02-2020 14:56:06,Tbilisi,8219f5e7b8,"LSD - 250 ug, 2 pieces",True,7,нет,Тбилиси,2 гр,0.0072,4545,1720,156,70.0,,,,,,,,,"LSD - 250 ug, 2 pieces"
40,40,25-02-2020 14:56:06,Tbilisi,edfbad0151,THC Snow Buds Only 2G (THC 23+%),True,1,нет,Тбилиси,2 гр,0.0087,5518,2088,189,85.0,,,,,,,,,THC Snow Buds Only 2G (THC 23+%)
41,41,25-02-2020 14:56:06,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 2g,,3,нет,Тбилиси,2 гр,0.0355,22658,8575,776,349.0,,,True,,,,,,Kokain KOLUMBIA 2g
42,42,25-02-2020 14:56:06,Tbilisi,7ee4f68218,🍃 2гр ГАШИШ 🍃,True,8,нет,Тбилиси,2 гр,0.0107,7141,2703,245,110.0,,,,,,,,,🍃 2gr GAShISh 🍃
