,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Gldani,Vazisubani,Varketili,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,25-05-2020 04:18:08,Tbilisi,C36EL,TripGuru,Iranian Sirec 0.25g.,True,2,нет,Тбилиси,0.25 гр,0.011,7188,2705,240,100,,,,,,,,,,,,,Iranian Sirec 0.25g.
1,25-05-2020 04:18:08,Tbilisi,OX85,amnesia420,">>new<< 0,5G HINDU KUSH (Indica)",True,6,нет,Тбилиси,0.5 гр,0.0033,2156,812,72,30,,,,,,,,,,,,,">>new<< 0,5G HINDU KUSH (Indica)"
2,25-05-2020 04:18:08,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,,2,нет,Тбилиси,0.5 гр,0.0032,2085,784,70,29,True,,,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
3,25-05-2020 04:18:08,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано 0.5г.,,1,нет,Тбилиси,0.5 гр,0.0032,2085,784,70,29,,True,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
4,25-05-2020 04:18:08,Tbilisi,OX85,amnesia420,"1g GORILLA GLUE #4 (Hybrid, more indica)",True,1,нет,Тбилиси,1 гр,0.0055,3594,1353,120,50,,,,,,,,,,,,,"1g GORILLA GLUE #4 (Hybrid, more indica)"
5,25-05-2020 04:18:08,Tbilisi,OX85,amnesia420,"1g SOUR DIESEL (Hybrid, Sativa)",True,1,нет,Тбилиси,1 гр,0.0055,3594,1353,120,50,,,,,,,,,,,,,"1g SOUR DIESEL (Hybrid, Sativa)"
6,25-05-2020 04:18:08,Tbilisi,OX85,amnesia420,"1g WHITE WIDOW (Hybrid, more sativa)",True,1,нет,Тбилиси,1 гр,0.0055,3594,1353,120,50,,,,,,,,,,,,,"1g WHITE WIDOW (Hybrid, more sativa)"
7,25-05-2020 04:18:08,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0904,64692,24345,2159,900,,,,,,,,,,,,,Metadon 1gr
8,25-05-2020 04:18:08,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,True,3,нет,Тбилиси,2 гр,0.0097,6325,2380,211,88,,,True,,,,,,,,,,2gr HYBRID buds
9,25-05-2020 04:18:08,Tbilisi,18FB,Mr.Green Tbilis,3 G Hybrid Marijuana Big Buds,True,9,нет,Тбилиси,3 гр,0.0144,9344,3517,312,130,,,,,,,,,,,,,3 G Hybrid Marijuana Big Buds
