,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Тбилиси,Varketili,Didube,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,25-05-2020 17:53:27,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,True,11,нет,Тбилиси,0.5 гр,0.0032,2076,784,70,29,,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
1,25-05-2020 17:53:27,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,,8,нет,Тбилиси,1 гр,0.0054,3508,1325,118,49,True,,,,,,,,,,1gr HYBRID o.g
2,25-05-2020 17:53:27,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.0902,64437,24345,2159,900,,True,,,,,,,,,Metadon 1gr
3,25-05-2020 17:53:27,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,,7,нет,Тбилиси,2 гр,0.0078,5012,1894,168,70,,True,,,,,,,,,2x Extasy Duracell 223mg MDMA.
4,25-05-2020 17:53:27,Tbilisi,2LY77,SveetWeed,10 - GRAMM BEASTWEED,,1,нет,Тбилиси,10 гр,0.0175,12529,4734,420,175,,True,,,,,,,,,10 - GRAMM BEASTWEED
5,25-05-2020 17:53:27,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Package on magnet,,2,нет,Тбилиси,10 гр,0.0242,15680,5924,525,219,,,True,,,,,,,,10 gr georgian weed. Package on magnet
6,25-05-2020 17:53:27,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,6,нет,Тбилиси,10 гр,0.0219,14248,5383,477,199,,,True,True,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
7,25-05-2020 17:53:27,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,,1,нет,Тбилиси,10 гр,0.0481,32218,12173,1079,450,,True,,,,,,,,,Gashish Evro 10gr
8,25-05-2020 17:53:27,Tbilisi,7LHWP,GEOBUDS,20 gr georgian weed. Package on magnet,,2,11,Тбилиси,20 гр,0.044,28567,10793,957,399,,True,True,,,,,,,,20 gr georgian weed. Package on magnet
9,25-05-2020 17:53:27,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0822,55630,21018,1864,777,,True,,,,,,,,,Gashish Evro 20gr
10,25-05-2020 17:53:27,Tbilisi,HWUW,opiopi,GABAGAMA 50 SHTUK,,2,нет,Тбилиси,50 гр,0.008,5728,2164,192,80,,True,,,,,,,,,GABAGAMA 50 SHTUK
11,25-05-2020 17:53:27,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2005,143192,54100,4797,2000,,True,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
12,25-05-2020 17:53:27,Tbilisi,HWUW,opiopi,GABAGAMA 150 shtuk,,1,нет,Тбилиси,150 гр,0.0185,13245,5004,444,185,,True,,,,,,,,,GABAGAMA 150 shtuk
13,25-05-2020 17:53:27,Tbilisi,A3I9,Joookerrr,Бупренорфин (аналог суботекса) 0.2 гр.,,нет,4,Тбилиси,0.2 гр,0.0108,7009,2651,236,,,True,,,90,,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
14,25-05-2020 17:53:27,Tbilisi,A3I9,Joookerrr,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",,нет,1,Тбилиси,1 гр,0.036,25701,9719,864,,,True,,,330,,,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
15,25-05-2020 17:53:27,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,,нет,5,Тбилиси,2 гр,0.0234,15035,5681,504,210,,True,,,,,,,,,✨✨2gram. MDMA✨✨
16,25-05-2020 17:53:27,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,,нет,8,Тбилиси,2 гр,0.0411,26419,9981,885,369,,True,,,,,,,,,❄❄2g HQ COCAINE❄❄
17,25-05-2020 17:53:27,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,7,Тбилиси,3 гр,0.0645,41454,15662,1389,579,,True,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
18,25-05-2020 17:53:27,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0441,28638,10820,959,400,,True,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
19,25-05-2020 17:53:27,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,True,нет,2,Тбилиси,4 гр,0.0154,10023,3787,336,140,,,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
20,25-05-2020 17:53:27,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 5G",,нет,1,Тбилиси,5 гр,0.0607,39378,14878,1319,550,,True,,,,,,,,,"""Kief"" Weed trichomes 5G"
21,25-05-2020 17:53:27,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0607,39378,14878,1319,550,,True,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
22,25-05-2020 17:53:27,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,9,Тбилиси,5 гр,0.0259,16825,6357,564,235,,True,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
23,25-05-2020 17:53:27,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,6,Тбилиси,5 гр,0.0265,17183,6492,576,240,,True,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
24,25-05-2020 17:53:27,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,,нет,8,Тбилиси,5 гр,0.0254,16467,6222,552,230,,True,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
25,25-05-2020 17:53:27,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,,нет,1,Тбилиси,5 гр,0.0175,11384,4301,381,159,,True,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
26,25-05-2020 17:53:27,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0265,17183,6492,576,240,,True,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
27,25-05-2020 17:53:27,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,9,Тбилиси,5 гр,0.0265,17183,6492,576,240,,True,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
28,25-05-2020 17:53:27,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0254,16467,6222,552,230,,True,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
29,25-05-2020 17:53:27,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.022,15680,5924,525,219,,True,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
30,25-05-2020 17:53:27,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0259,16825,6357,564,235,,True,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
31,25-05-2020 17:53:27,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 5г.,,нет,4,Тбилиси,5 гр,0.0276,17899,6763,600,250,,,,True,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
32,25-05-2020 17:53:27,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.266,190000,87429,6351,,,True,,,,,,,,,reagent 25i nbome. 5gr
