,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Saburtalo,Zahesi,Дигоми,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,25-06-2020 01:42:11,Tbilisi,21e6be39fb,"Black Gerain, Sirec VHQ 0.4g",True,5,нет,Тбилиси,0.4 гр,0.0143,9637,3753,332,140.0,,,,,,,,,,,"Black Gerain, Sirec VHQ 0.4g"
1,1,25-06-2020 01:42:11,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,16,нет,Тбилиси,0.5 гр,0.0164,10945,4263,377,159.0,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,2,25-06-2020 01:42:11,Tbilisi,16a8841259,Ayahuasca Purple 100% Indica 0.5г,True,7,нет,Тбилиси,0.5 гр,0.0032,2134,831,73,31.0,,,,,,,,,,,Ayahuasca Purple 100% Indica 0.5g
3,3,25-06-2020 01:42:11,Tbilisi,21e6be39fb,"Black Geroin, Sirec 0.5g",True,5,нет,Тбилиси,0.5 гр,0.0179,12047,4692,415,175.0,,,,,,,,,,,"Black Geroin, Sirec 0.5g"
4,4,25-06-2020 01:42:11,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 0.5G On Iron Magnet,True,6,нет,Тбилиси,0.5 гр,0.0153,10326,4022,355,150.0,True,,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 0.5G On Iron Magnet
5,5,25-06-2020 01:42:11,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,True,9,нет,Тбилиси,0.5 гр,0.0031,2065,804,71,30.0,True,,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
6,6,25-06-2020 01:42:11,Tbilisi,16a8841259,Skunk 0.5г,True,2,нет,Тбилиси,0.5 гр,0.0032,2134,831,73,31.0,,,,,,,,,,,Skunk 0.5g
7,7,25-06-2020 01:42:11,Tbilisi,8e86176694,КЕТАМИН WHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0139,10326,4022,355,150.0,,,,,,,,,,,KETAMIN WHQ 0.5g
8,8,25-06-2020 01:42:11,Tbilisi,d04eeb6525,Кокаин HQ 0.5 g.,True,2,нет,Тбилиси,0.5 гр,0.0129,9568,3727,329,139.0,,,,,,,,,,,Kokain HQ 0.5 g.
9,9,25-06-2020 01:42:11,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,10,нет,Тбилиси,1 гр,0.0061,4130,1609,142,60.0,,True,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
