,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Old Tbilisi (Старый город),Дигоми,Vake,Авлобари,Varketili,Батуми,Центр,desc_en
0,25-07-2020 21:16:24,Tbilisi,EIH4,San4oPan4o,!!Hash!! Гашиш 0.5г !!! BTC SALE 5%!!!!,True,3,нет,Тбилиси,0.5 гр,0.0068,4820,1891,161,58,,,,,,,,,,,!!Hash!! Gashish 0.5g !!! BTC SALE 5%!!!!
1,25-07-2020 21:16:24,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,,18,нет,Тбилиси,0.5 гр,0.0034,2363,925,79,,True,33,,,,,,,,,0.5 gr HYBRID buds
2,25-07-2020 21:16:24,Tbilisi,7R3WM,RastaShop,0.5 gr. Lemon Haze (Sativa),True,12,нет,Тбилиси,0.5 гр,0.0033,2291,897,76,,,32,,,,,,,,,0.5 gr. Lemon Haze (Sativa)
3,25-07-2020 21:16:24,Tbilisi,ABOAB,ProGrow,0.5-G ---> Pineapple (BTC - Sale),True,6,нет,Тбилиси,0.5 гр,0.0029,2005,785,67,,,28,,,,,,,,,0.5-G ---> Pineapple (BTC - Sale)
4,25-07-2020 21:16:24,Tbilisi,QVK5,Galiak,Gorilla Glue 0.5G Super strong weed LIMITED,,2,нет,Тбилиси,0.5 гр,0.0036,2506,981,84,,,35,True,,,,,,,,Gorilla Glue 0.5G Super strong weed LIMITED
5,25-07-2020 21:16:24,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 0.5G,,23,нет,Тбилиси,0.5 гр,0.0034,2363,925,79,,True,33,True,,,,,,,,VHQ Hybrid MJ Buds 0.5G
6,25-07-2020 21:16:24,Tbilisi,LGRP8,Walker12,(!!!NEW!!! 27 THC #VHQ# 1 G Phantom OG ),,2,нет,Тбилиси,1 гр,0.0057,3938,1541,131,,,55,,True,,,,,,,(!!!NEW!!! 27 THC #VHQ# 1 G Phantom OG )
7,25-07-2020 21:16:24,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,5,нет,Тбилиси,1 гр,0.0062,4296,1681,143,,True,60,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
8,25-07-2020 21:16:24,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,,2,нет,Тбилиси,1 гр,0.0062,4296,1681,143,,True,60,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
9,25-07-2020 21:16:24,Tbilisi,7R3WM,RastaShop,1 gr. Lemon Haze (Sativa),True,1,нет,Тбилиси,1 гр,0.0055,3795,1485,127,,,53,,,,,,,,,1 gr. Lemon Haze (Sativa)
10,25-07-2020 21:16:24,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,1,нет,Тбилиси,1 гр,0.0061,4224,1653,141,,True,59,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
11,25-07-2020 21:16:24,Tbilisi,3Y9,HIGHTHC,1 г Skunk #1 марихуана шишки тгк 29% VHQ,,4,нет,Тбилиси,1 гр,0.0061,4224,1653,141,,True,59,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
12,25-07-2020 21:16:24,Tbilisi,ABOAB,ProGrow,1G ---> Big Devil (BTC - Sale),True,1,нет,Тбилиси,1 гр,0.0052,3580,1401,119,,,50,,,,,,,,,1G ---> Big Devil (BTC - Sale)
