,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,26-02-2020 10:00:56,Tbilisi,7fa257ac43,0.33gr NEW - ALFA - PVP - 99% чистота - сухие - большие кристалы,True,1,нет,Тбилиси,0.33 гр,0.0075,4545,1720,156,70.0,,,,,,,,,0.33gr NEW - ALFA - PVP - 99% chistota - suhie - bol'shie kristaly
1,1,26-02-2020 10:00:56,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0095,6427,2432,220,99.0,,,,,,,,,Cocaine Pure VHQ 0.5g
2,2,26-02-2020 10:00:56,Tbilisi,edfbad0151,THC Snow Buds Only 0.5 G (THC 23+%),True,6,нет,Тбилиси,0.5 гр,0.0032,1948,737,67,30.0,,,,,,,,,THC Snow Buds Only 0.5 G (THC 23+%)
3,3,26-02-2020 10:00:56,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,True,5,нет,Тбилиси,0.5 гр,0.0106,6427,2432,220,99.0,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
4,4,26-02-2020 10:00:56,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука),True,6,нет,Тбилиси,0.8 гр,0.0159,9738,3686,334,150.0,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka)
5,5,26-02-2020 10:00:56,Tbilisi,7c395c455d,1 gr mdma Кристаллы очен силни импорт с европи,True,3,нет,Тбилиси,1 гр,0.0127,7791,2948,267,120.0,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
6,6,26-02-2020 10:00:56,Tbilisi,4a91350669,1 gr гашиш VHQ gorilla glue hash тгк 28 %,True,1,нет,Тбилиси,1 гр,0.0095,5843,2211,200,90.0,,,,,,,,,1 gr gashish VHQ gorilla glue hash tgk 28 %
7,7,26-02-2020 10:00:56,Tbilisi,bb1791277e,1 gr сжатая марихуана EUPHORIA шишки low thc.,True,2,нет,Тбилиси,1 гр,0.0037,2272,860,78,35.0,,,,,,,,,1 gr szhataja marihuana EUPHORIA shishki low thc.
8,8,26-02-2020 10:00:56,Tbilisi,cb721d4bca,"1 mdma very strong best quality , import califronia , лучши мдма на саите",True,2,нет,Тбилиси,1 гр,0.0106,6492,2457,223,100.0,,,,,,,,,"1 mdma very strong best quality , import califronia , luchshi mdma na saite"
9,9,26-02-2020 10:00:57,Tbilisi,cb721d4bca,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,5,нет,Тбилиси,1 гр,0.009000000000000001,5518,2088,189,85.0,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
10,10,26-02-2020 10:00:57,Tbilisi,64284550d9,1G -- AK-47 -> Sativa,True,7,нет,Тбилиси,1 гр,0.0038,2402,909,82,37.0,True,,,,,,,,1G -- AK-47 -> Sativa
11,11,26-02-2020 10:00:57,Tbilisi,cb721d4bca,"1gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,5,нет,Тбилиси,1 гр,0.0098,5989,2267,206,,,85.0,,,,,,,"1gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
12,12,26-02-2020 10:00:57,Tbilisi,7c395c455d,1gr bubble hash thc 25% гашиш вишего качество HQ,True,6,нет,Тбилиси,1 гр,0.009000000000000001,5518,2088,189,85.0,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
13,13,26-02-2020 10:00:57,Tbilisi,7ee4f68218,1gr mdma (скидка в биткоин 5%),True,3,нет,Тбилиси,1 гр,0.0099,6341,2400,218,,,90.0,,,,,,,1gr mdma (skidka v bitkoin 5%)
14,14,26-02-2020 10:00:57,Tbilisi,ae784bef73,Afghan HQ buds ! NEW ! 1G,True,6,нет,Тбилиси,1 гр,0.005,3051,1155,105,47.0,,,,,,,,,Afghan HQ buds ! NEW ! 1G
15,15,26-02-2020 10:00:57,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,5,нет,Тбилиси,1 гр,0.0183,12335,4668,423,190.0,,,,,,,,,Cocaine Pure VHQ 1g
16,16,26-02-2020 10:00:57,Tbilisi,8219f5e7b8,"Cocaine, 1g",True,4,нет,Тбилиси,1 гр,0.0235,14283,5405,490,220.0,,,,,,,,,"Cocaine, 1g"
17,17,26-02-2020 10:00:57,Tbilisi,8219f5e7b8,"LSD - 250 ug, 1piece",True,1,нет,Тбилиси,1 гр,0.0043,2597,983,89,40.0,,,,,,,,,"LSD - 250 ug, 1piece"
