,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,26-02-2020 14:37:41,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0096,6486,2445,220,99,,,,,,,,,Cocaine Pure VHQ 0.5g
1,26-02-2020 14:37:41,Tbilisi,UJP9,420Inc,THC Snow Buds Only 0.5 G (THC 23+%),True,5,нет,Тбилиси,0.5 гр,0.0032,1966,741,67,30,,,,,,,,,THC Snow Buds Only 0.5 G (THC 23+%)
2,26-02-2020 14:37:41,Tbilisi,9VLN,AlienShop,☃️ 0.5g HQ COCAINE ☃️,True,5,нет,Тбилиси,0.5 гр,0.0107,6486,2445,220,99,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
3,26-02-2020 14:37:41,Tbilisi,MJVS,Nordic,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука),True,6,нет,Тбилиси,0.8 гр,0.016,9828,3705,334,150,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka)
4,26-02-2020 14:37:41,Tbilisi,03F3,geoshop,1 gr mdma Кристаллы очен силни импорт с европи,True,3,нет,Тбилиси,1 гр,0.0128,7862,2964,267,120,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
5,26-02-2020 14:37:41,Tbilisi,JVZTQ,partyshop,1 gr гашиш VHQ gorilla glue hash тгк 28 %,True,1,нет,Тбилиси,1 гр,0.0096,5897,2223,200,90,,,,,,,,,1 gr gashish VHQ gorilla glue hash tgk 28 %
6,26-02-2020 14:37:41,Tbilisi,BB6E,WEEDSH0P,1 gr сжатая марихуана EUPHORIA шишки low thc.,True,2,нет,Тбилиси,1 гр,0.0037,2293,865,78,35,,,,,,,,,1 gr szhataja marihuana EUPHORIA shishki low thc.
7,26-02-2020 14:37:41,Tbilisi,SF03,CRAZYFROG,"1 mdma very strong best quality , import califronia , лучши мдма на саите",True,2,нет,Тбилиси,1 гр,0.0107,6552,2470,223,100,,,,,,,,,"1 mdma very strong best quality , import califronia , luchshi mdma na saite"
8,26-02-2020 14:37:41,Tbilisi,SF03,CRAZYFROG,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,6,нет,Тбилиси,1 гр,0.0091,5569,2100,189,85,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
9,26-02-2020 14:37:41,Tbilisi,ABOAB,ProGrow,1G -- AK-47 -> Sativa,True,7,нет,Тбилиси,1 гр,0.0039,2424,914,82,37,True,,,,,,,,1G -- AK-47 -> Sativa
10,26-02-2020 14:37:41,Tbilisi,SF03,CRAZYFROG,"1gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,5,нет,Тбилиси,1 гр,0.0098,6056,2279,206,,,85,,,,,,,"1gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
11,26-02-2020 14:37:41,Tbilisi,03F3,geoshop,1gr bubble hash thc 25% гашиш вишего качество HQ,True,6,нет,Тбилиси,1 гр,0.0091,5569,2100,189,85,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
12,26-02-2020 14:37:41,Tbilisi,0WE,Khachapuri,1gr mdma (скидка в биткоин 5%),True,3,нет,Тбилиси,1 гр,0.01,6412,2413,218,,,90,,,,,,,1gr mdma (skidka v bitkoin 5%)
13,26-02-2020 14:37:41,Tbilisi,X4ZM,ZYX,Afghan HQ buds ! NEW ! 1G,True,4,нет,Тбилиси,1 гр,0.005,3079,1161,105,47,,,,,,,,,Afghan HQ buds ! NEW ! 1G
14,26-02-2020 14:37:41,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,5,нет,Тбилиси,1 гр,0.0184,12448,4693,423,190,,,,,,,,,Cocaine Pure VHQ 1g
15,26-02-2020 14:37:41,Tbilisi,5JG6,BenderMan,"Cocaine, 1g",True,4,нет,Тбилиси,1 гр,0.0237,14414,5434,490,220,,,,,,,,,"Cocaine, 1g"
16,26-02-2020 14:37:41,Tbilisi,TDSHF,THC,Hybrid Gagarin.(THC 30%) 1g.,True,2,нет,Тбилиси,1 гр,0.0046,2948,1112,100,45,,,,,,,,,Hybrid Gagarin.(THC 30%) 1g.
17,26-02-2020 14:37:41,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 1piece",True,1,нет,Тбилиси,1 гр,0.0043,2621,988,89,40,,,,,,,,,"LSD - 250 ug, 1piece"
18,26-02-2020 14:37:41,Tbilisi,X4ZM,ZYX,NEW ! Super Critical ! NEW ! Buds ! 1G,True,1,нет,Тбилиси,1 гр,0.0048,2948,1112,100,45,,,,,,,,,NEW ! Super Critical ! NEW ! Buds ! 1G
