,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,26-03-2020 06:08:43,Tbilisi,TI21,Campaari,"Метадон VHQ 0,10",True,1,нет,Тбилиси,0.1 гр,0.0137,7779,2825,258,100,,,,,,,,,,"Metadon VHQ 0,10"
1,26-03-2020 06:08:43,Tbilisi,V4T,COCAcoLA,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,,10,нет,Тбилиси,0.25 гр,0.0258,14781,5368,490,190,True,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
2,26-03-2020 06:08:43,Tbilisi,V4T,COCAcoLA,METHADONE 0.25 THE BEST QUALITY VHQ,,8,нет,Тбилиси,0.25 гр,0.0274,15559,5650,516,200,True,,,,,,,,,METHADONE 0.25 THE BEST QUALITY VHQ
3,26-03-2020 06:08:43,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,True,3,нет,Тбилиси,0.5 гр,0.0549,31117,11300,1032,400,,,,,,,,,,Metadon VHQ 0.5 24/7
4,26-03-2020 06:08:43,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,6,нет,Тбилиси,1 гр,0.0069,3890,1413,129,50,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
5,26-03-2020 06:08:43,Tbilisi,SF03,CRAZYFROG,1 gr Шишки “OG KUSH VHQ”,True,1,нет,Тбилиси,1 гр,0.0062,3501,1271,116,45,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
6,26-03-2020 06:08:43,Tbilisi,03F3,geoshop,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,13,нет,Тбилиси,1 гр,0.0069,3890,1413,129,50,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
7,26-03-2020 06:08:43,Tbilisi,42AF,Leningrad6,Amsterdam weed sativa 1гр,True,9,нет,Тбилиси,1 гр,0.0059,3345,1215,111,43,,,,,,,,,,Amsterdam weed sativa 1gr
8,26-03-2020 06:08:43,Tbilisi,X4ZM,ZYX,NEW ! Super Skunk ! NEW ! BUDS ! 1G,True,1,нет,Тбилиси,1 гр,0.0063,3578,1300,119,46,,,,,,,,,,NEW ! Super Skunk ! NEW ! BUDS ! 1G
9,26-03-2020 06:08:43,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,2,нет,Тбилиси,1 гр,0.027,15948,5791,529,205,,,,,,,,,,VHQ BEST Cocaine 1g.
10,26-03-2020 06:08:43,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1122,70014,25425,2321,900,,,,,,,,,,Metadon 1gr
11,26-03-2020 06:08:43,Tbilisi,UJP9,420Inc,!NEW! PineApple Express Auto !NEW! (B.F)Buds Only 2G (THC 24+%),True,10,нет,Тбилиси,2 гр,0.011,6223,2260,206,80,,,,,,,,,,!NEW! PineApple Express Auto !NEW! (B.F)Buds Only 2G (THC 24+%)
12,26-03-2020 06:08:43,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,True,5,нет,Тбилиси,2 гр,0.0108,6146,2232,204,79,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
13,26-03-2020 06:08:43,Tbilisi,JVZTQ,partyshop,2 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,3,нет,Тбилиси,2 гр,0.0123,7001,2543,232,90,,,,,,,,,,2 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
14,26-03-2020 06:08:43,Tbilisi,BB6E,WEEDSH0P,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,12,нет,Тбилиси,2 гр,0.0108,6146,2232,204,79,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
15,26-03-2020 06:08:43,Tbilisi,SF03,CRAZYFROG,2 gr Шишки “OG KUSH VHQ”,True,4,нет,Тбилиси,2 гр,0.0108,6146,2232,204,79,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
16,26-03-2020 06:08:43,Tbilisi,QUZIV,Hollyweed,2g super Skunk top class buds. Indica,,8,нет,Тбилиси,2 гр,0.0109,6146,2232,204,79,,True,,,,,,,,2g super Skunk top class buds. Indica
17,26-03-2020 06:08:43,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 2 шт. вес таблетки 450mg,True,4,нет,Тбилиси,2 гр,0.0075,4279,1554,142,55,,,,,,,,,,Extasy GUCCI 2 sht. ves tabletki 450mg
18,26-03-2020 06:08:43,Tbilisi,X4ZM,ZYX,Gorilla Glue! 2G ! NEW ! BUDS !,True,1,нет,Тбилиси,2 гр,0.0103,5834,2119,193,75,,,,,,,,,,Gorilla Glue! 2G ! NEW ! BUDS !
19,26-03-2020 06:08:43,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 2gr шишки марихуана если платите с бтк скидка 10% !!,True,1,нет,Тбилиси,2 гр,0.0108,6146,2232,204,79,,,,,,,,,,NORTHEN LIGHTS 2gr shishki marihuana esli platite s btk skidka 10% !!
20,26-03-2020 06:08:43,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,2,нет,Тбилиси,3 гр,0.0145,8168,2966,271,105,,,,,,,,,,3x Extasy Duracell 223mg MDMA
21,26-03-2020 06:08:43,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 3 штуки!!!,True,1,нет,Тбилиси,3 гр,0.006,3734,1356,124,48,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 3 shtuki!!!
22,26-03-2020 06:08:43,Tbilisi,WLV7F,AGsgrowgro,metadon sirop 4ml,,1,нет,Тбилиси,4 гр,0.0092,5212,1893,173,67,True,,,,,,,,,metadon sirop 4ml
23,26-03-2020 06:08:43,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0384,22720,8262,753,,,,270,,,,,,,5 gr mdma (skidka v bitkoin 5%)
24,26-03-2020 06:08:43,Tbilisi,1GT8,GREENGY,5g MDMA (IMPORTED),True,1,нет,Тбилиси,5 гр,0.0527,31117,11300,1032,400,,,,,,,,,,5g MDMA (IMPORTED)
