,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,€,Gldani,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,26-03-2020 10:55:57,Tbilisi,99accec7c7,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,True,8,нет,Тбилиси,0.25 гр,0.0259,14781,5368,490,190.0,,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
1,1,26-03-2020 10:55:57,Tbilisi,99accec7c7,METHADONE 0.25 THE BEST QUALITY VHQ,True,7,нет,Тбилиси,0.25 гр,0.0276,15559,5650,516,200.0,,,,,,,,,,METHADONE 0.25 THE BEST QUALITY VHQ
2,2,26-03-2020 10:55:57,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,,3,нет,Тбилиси,0.5 гр,0.0551,31117,11300,1032,400.0,True,,,,,,,,,Metadon VHQ 0.5 24/7
3,3,26-03-2020 10:55:57,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 грамм",,1,нет,Тбилиси,0.7 гр,0.0163,10098,3672,335,,True,120.0,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gramm"
4,4,26-03-2020 10:55:57,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,6,нет,Тбилиси,1 гр,0.0069,3890,1413,129,50.0,True,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
5,5,26-03-2020 10:55:57,Tbilisi,7c395c455d,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,13,нет,Тбилиси,1 гр,0.0069,3890,1413,129,50.0,True,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
6,6,26-03-2020 10:55:57,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,,9,нет,Тбилиси,1 гр,0.0059,3345,1215,111,43.0,True,,,,,,,,,Amsterdam weed sativa 1gr
7,7,26-03-2020 10:55:57,Tbilisi,ae784bef73,NEW ! Super Skunk ! NEW ! BUDS ! 1G,,1,нет,Тбилиси,1 гр,0.0063,3578,1300,119,46.0,True,,,,,,,,,NEW ! Super Skunk ! NEW ! BUDS ! 1G
8,8,26-03-2020 10:55:57,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,,3,нет,Тбилиси,1 гр,0.0271,15948,5791,529,205.0,True,,,,,,,,,VHQ BEST Cocaine 1g.
9,9,26-03-2020 10:55:57,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1127,70014,25425,2321,900.0,True,,,,,,,,,Metadon 1gr
10,10,26-03-2020 10:55:57,Tbilisi,edfbad0151,!NEW! PineApple Express Auto !NEW! (B.F)Buds Only 2G (THC 24+%),,10,нет,Тбилиси,2 гр,0.011000000000000001,6223,2260,206,80.0,True,,,,,,,,,!NEW! PineApple Express Auto !NEW! (B.F)Buds Only 2G (THC 24+%)
11,11,26-03-2020 10:55:57,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,5,нет,Тбилиси,2 гр,0.0109,6146,2232,204,79.0,True,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
12,12,26-03-2020 10:55:57,Tbilisi,4a91350669,2 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,3,нет,Тбилиси,2 гр,0.0124,7001,2543,232,90.0,True,,,,,,,,,2 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
13,13,26-03-2020 10:55:57,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,12,нет,Тбилиси,2 гр,0.0109,6146,2232,204,79.0,True,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
14,14,26-03-2020 10:55:57,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,,4,нет,Тбилиси,2 гр,0.0109,6146,2232,204,79.0,True,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
15,15,26-03-2020 10:55:57,Tbilisi,4659482266,2g super Skunk top class buds. Indica,,8,нет,Тбилиси,2 гр,0.011000000000000001,6146,2232,204,79.0,,,True,,,,,,,2g super Skunk top class buds. Indica
