,time_stamp,region,sell_code,sell_name,description,Old Tbilisi (Старый город),готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Тбилиси,Nadzaladevi,Didube,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,26-04-2020 13:16:30,Tbilisi,3Y9,HIGHTHC,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,0.5 гр,0.0045,2615,957,86,35,,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
1,26-04-2020 13:16:30,Tbilisi,3Y9,HIGHTHC,0.5 г Skunk #1 марихуана шишки тгк 29% VHQ,True,4,нет,Тбилиси,0.5 гр,0.0044,2540,930,84,34,,,,,,,,,,0.5 g Skunk #1 marihuana shishki tgk 29% VHQ
2,26-04-2020 13:16:30,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,,19,нет,Тбилиси,1 гр,0.0065,4109,1504,135,55,True,,,,,,,,,1 G Hybrid Marijuana Buds
3,26-04-2020 13:16:30,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1062,67245,24615,2217,900,,True,,,,,,,,Metadon 1gr
4,26-04-2020 13:16:30,Tbilisi,LGRP8,Walker12,19% ТГК Шишки Northern Lights 2 Gr Скидка 1 % через БИТКОИН !!!,,3,нет,Тбилиси,2 гр,0.0104,5977,2188,197,80,,,True,,,,,,,19% TGK Shishki Northern Lights 2 Gr Skidka 1 % cherez BITKOIN !!!
5,26-04-2020 13:16:30,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,,2,нет,Тбилиси,2 гр,0.0104,5903,2161,195,79,,True,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
6,26-04-2020 13:16:30,Tbilisi,P5MBO,ToppoT,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,7,нет,Тбилиси,2 гр,0.011,6351,2325,209,85,,,,True,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
7,26-04-2020 13:16:30,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA. Авламбари,,2,нет,Тбилиси,3 гр,0.0138,7845,2872,259,105,,True,,,,,,,,3x Extasy Duracell 223mg MDMA. Avlambari
8,26-04-2020 13:16:30,Tbilisi,9VLN,AlienShop,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈,,2,нет,Тбилиси,3 гр,0.0156,8891,3255,293,119,,True,,,,,,,,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈
9,26-04-2020 13:16:30,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,2,нет,Тбилиси,3 гр,0.0156,8891,3255,293,119,,True,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
10,26-04-2020 13:16:30,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",,1,нет,Тбилиси,5 гр,0.0399,23909,8752,788,320,,True,,,,,,,,"5 Grm MDMA , Purity A +++"
11,26-04-2020 13:16:30,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA. Технический универ,,1,нет,Тбилиси,5 гр,0.0229,13075,4786,431,175,,True,,,,,,,,5x Extasy Duracell 223mg MDMA. Tehnicheskij univer
12,26-04-2020 13:16:30,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,,1,нет,Тбилиси,5 гр,0.1447,85924,31453,2832,1150,,True,,,,,,,,VHQ BEST Cocaine 5g.
13,26-04-2020 13:16:30,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica-,,3,нет,Тбилиси,10 гр,0.0271,15616,5716,515,209,,,,True,,,,,,10 gr marijuana buds. -indica-
14,26-04-2020 13:16:30,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0498,29887,10940,985,400,,True,,,,,,,,gashish evro 10g
15,26-04-2020 13:16:30,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),,7,нет,Тбилиси,20 гр,0.0526,30260,11077,998,405,,,True,True,,,,,,20 gr Indica marijuana buds (hight quality)
16,26-04-2020 13:16:30,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0968,58055,21251,1914,777,,True,,,,,,,,Gashish Evro 20gr
17,26-04-2020 13:16:30,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.236,149433,54700,4926,2000,,True,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
18,26-04-2020 13:16:30,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,,нет,9,Тбилиси,2 гр,0.0484,27570,10092,909,369,,True,,,,,,,,❄❄2g HQ COCAINE❄❄
19,26-04-2020 13:16:30,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,10,Тбилиси,3 гр,0.0773,44083,16137,1453,590,,True,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
20,26-04-2020 13:16:30,Tbilisi,A3I9,Joookerrr,"""JoKer Express"" - Марки н боом 4 штуки!",,нет,4,Тбилиси,4 гр,0.0084,4815,1770,159,,,True,,,60,,,,,"""JoKer Express"" - Marki n boom 4 shtuki!"
21,26-04-2020 13:16:30,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0519,29887,10940,985,400,,True,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
22,26-04-2020 13:16:30,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0714,41094,15043,1355,550,,True,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
23,26-04-2020 13:16:30,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,,нет,6,Тбилиси,5 гр,0.0221,12702,4650,419,170,,True,,,,,,,,5 gr Shishki “OG KUSH VHQ”
24,26-04-2020 13:16:30,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,9,Тбилиси,5 гр,0.0258,14869,5443,490,199,,True,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
25,26-04-2020 13:16:30,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0258,14869,5443,490,199,,True,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
26,26-04-2020 13:16:30,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0258,16363,5990,539,219,,True,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
27,26-04-2020 13:16:30,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,6,Тбилиси,5 гр,0.0258,14869,5443,490,199,,True,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
28,26-04-2020 13:16:30,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.3,190000,87429,6265,,,True,,,,,,,,reagent 25i nbome. 5gr
29,26-04-2020 13:16:30,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,True,нет,2,Тбилиси,5 гр,0.354,224149,82050,7389,3000,,,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
30,26-04-2020 13:16:30,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,10,Тбилиси,5 гр,0.1139,64928,23767,2140,869,,True,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
31,26-04-2020 13:16:30,Tbilisi,9VLN,AlienShop,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,,нет,5,Тбилиси,5 гр,0.0248,14121,5169,466,189,,True,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
32,26-04-2020 13:16:30,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0249,14196,5197,468,190,,True,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
33,26-04-2020 13:16:30,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0641,36536,13374,1204,489,,True,,,,,,,,💘✨5g. MDMA ✨💘
34,26-04-2020 13:17:33,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,5,Тбилиси,5 гр,0.0248,14121,5169,466,189,,True,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
35,26-04-2020 13:17:33,Tbilisi,A3I9,Joookerrr,"""Джокер экспрес"" марки нбооом 10 шт",,нет,5,Тбилиси,10 гр,0.0167,9630,3540,318,,,True,,,120,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
36,26-04-2020 13:17:33,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1168,67245,24615,2217,900,,True,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
37,26-04-2020 13:17:33,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,3,Тбилиси,10 гр,0.0908,52301,19145,1724,700,,True,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
38,26-04-2020 13:17:33,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0415,23909,8752,788,320,,True,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
39,26-04-2020 13:17:33,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,4,Тбилиси,10 гр,0.1038,59773,21880,1970,800,,True,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
40,26-04-2020 13:17:33,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2888,166244,60854,5480,2225,,True,,,,,,,,Amfetamin [White] [Import] 10G
41,26-04-2020 13:17:33,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,7,Тбилиси,10 гр,0.1899,108264,39630,3569,1449,,True,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
42,26-04-2020 13:17:33,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0484,27570,10092,909,369,,True,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
43,26-04-2020 13:17:33,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,1,Тбилиси,10 гр,0.0392,22340,8178,736,299,,True,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
44,26-04-2020 13:17:33,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,,нет,1,Тбилиси,20 гр,0.6554,373582,136750,12315,5000,,True,,,,,,,,METADON - 20 G.
45,26-04-2020 13:17:33,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0785,44755,16383,1475,599,,True,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
46,26-04-2020 13:17:33,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1428,82188,30085,2709,1100,,True,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
47,26-04-2020 13:17:33,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.3115,179319,65640,5911,2400,,True,,,,,,,,100 gr marijuana buds
48,26-04-2020 13:17:33,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2596,149433,54700,4926,2000,,True,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
49,26-04-2020 13:17:33,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3245,186791,68375,6158,2500,,True,,,,,,,,Marihuana [Shishki] [Gali] 100G
50,26-04-2020 13:17:33,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.7657,440826,161365,14532,5900,,True,,,,,,,,180 gr marihuana persoalno
51,26-04-2020 13:17:33,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.597,343695,125810,11330,4600,,True,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
52,26-04-2020 13:17:33,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.9734,560372,205125,18473,7500,,True,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
53,26-04-2020 13:17:33,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.1032,635089,232475,20936,8500,,True,,,,,,,,10000sht marki 25i-nbome. predoplata
54,26-04-2020 13:17:33,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0236,14943,5470,493,200,,True,,,,,,,,KURYER..500RUB.+BONUS
55,26-04-2020 13:17:33,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.026,14943,5470,493,200,,True,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
56,26-04-2020 13:17:33,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0324,18679,6838,616,250,,True,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
57,26-04-2020 13:17:33,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Тбилиси,25 гр,0.026,14943,5470,493,200,,True,,,,,,,,Rabota na marki (kur'er)
58,26-04-2020 13:17:33,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.9645,1120745,410250,36945,15000,,True,,,,,,,,Vakansija optovogo kur'era na mef
59,26-04-2020 13:19:15,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.285,164376,60170,5419,2200,,,,,,,True,,,[100g] SPAIN HASH
60,26-04-2020 13:19:15,Batumi,XH0NP,XX-PABLO-XX,METADON - 20 G.,,нет,1,Батуми,20 гр,0.6543,373582,136750,12315,5000,,,,,,,True,,,METADON - 20 G.
61,26-04-2020 13:19:15,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0118,7472,2735,246,100,,,,,,,True,,,kur'er v Batumi
62,26-04-2020 13:19:15,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0294,18679,6838,616,250,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
63,26-04-2020 13:19:15,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0294,18679,6838,616,250,,,,,,,True,,,Ischu kur'era v Gruzii!
64,26-04-2020 13:19:15,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.9612,1120745,410250,36945,15000,,,,,,,True,,,Vakansija optovogo kur'era na mef
65,26-04-2020 13:19:15,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0648,37358,13675,1232,500,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
66,26-04-2020 13:22:08,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0242,14121,5169,466,189,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
67,26-04-2020 13:22:08,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0575,33174,12143,1094,444,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
68,26-04-2020 13:22:08,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0431,24881,9108,820,333,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
69,26-04-2020 13:22:08,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0259,14943,5470,493,200,,,,,,,,,True,Rabota na marki (kur'er)
