,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Дигоми,Nadzaladevi,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,26-04-2020 18:15:50,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0173,10087,3692,333,135.0,,,,,,,,,,,,Cocaine Pure VHQ 0.5g
1,1,26-04-2020 18:15:50,Tbilisi,2f51af8159,INDICA MARIJUANA BUDS HIGH QUALITY PRESSED 0.5G,,8,нет,Тбилиси,0.5 гр,0.0033,1943,711,64,26.0,True,True,,,,,,,,,,INDICA MARIJUANA BUDS HIGH QUALITY PRESSED 0.5G
2,2,26-04-2020 18:15:50,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,,5,нет,Тбилиси,0.5 гр,0.0036,2316,848,76,31.0,True,True,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
3,3,26-04-2020 18:15:50,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,11,нет,Тбилиси,1 гр,0.0064,4109,1504,135,55.0,True,,,,,,,,,,,1 G Hybrid Marijuana Buds
4,4,26-04-2020 18:15:50,Tbilisi,013e75d78f,A - P v P Best VHQ 1 g крыстали,,2,нет,Тбилиси,1 гр,0.032,18679,6838,616,250.0,,,True,,,,,,,,,A - P v P Best VHQ 1 g krystali
5,5,26-04-2020 18:15:50,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1046,67245,24615,2217,900.0,,,,,,,,,,,,Metadon 1gr
6,6,26-04-2020 18:15:50,Tbilisi,83f3d55917,19% ТГК Шишки Northern Lights 2 Gr Скидка 1 % через БИТКОИН !!!,,3,нет,Тбилиси,2 гр,0.0102,5977,2188,197,80.0,,,,True,,,,,,,,19% TGK Shishki Northern Lights 2 Gr Skidka 1 % cherez BITKOIN !!!
7,7,26-04-2020 18:15:50,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,2,нет,Тбилиси,2 гр,0.0102,5903,2161,195,79.0,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
8,8,26-04-2020 18:15:50,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0608,35864,13128,1182,480.0,,,,,,,,,,,,VHQ BEST Cocaine 2g.
9,9,26-04-2020 18:15:50,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,5,нет,Тбилиси,2 гр,0.0109,6351,2325,209,85.0,,,,,True,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
10,10,26-04-2020 18:15:50,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA. Авламбари,True,2,нет,Тбилиси,3 гр,0.0136,7845,2872,259,105.0,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA. Avlambari
11,11,26-04-2020 18:15:50,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈,True,2,нет,Тбилиси,3 гр,0.0154,8891,3255,293,119.0,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈
12,12,26-04-2020 18:15:50,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,1,нет,Тбилиси,3 гр,0.0154,8891,3255,293,119.0,,,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
13,13,26-04-2020 18:15:50,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0393,23909,8752,788,320.0,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
14,14,26-04-2020 18:15:50,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.038,22415,8205,739,300.0,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
15,15,26-04-2020 18:15:50,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA. Технический универ,True,1,нет,Тбилиси,5 гр,0.0226,13075,4786,431,175.0,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA. Tehnicheskij univer
16,16,26-04-2020 18:15:50,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0491,29887,10940,985,400.0,,,,,,,,,,,,gashish evro 10g
17,17,26-04-2020 18:15:50,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),,7,нет,Тбилиси,20 гр,0.0518,30260,11077,998,405.0,,,,True,True,,,,,,,20 gr Indica marijuana buds (hight quality)
18,18,26-04-2020 18:15:50,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0954,58055,21251,1914,777.0,,,,,,,,,,,,Gashish Evro 20gr
19,19,26-04-2020 18:15:50,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2325,149433,54700,4926,2000.0,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
20,20,26-04-2020 18:15:50,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,9,Тбилиси,2 гр,0.0477,27570,10092,909,369.0,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
21,21,26-04-2020 18:15:50,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0762,44083,16137,1453,590.0,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
22,22,26-04-2020 18:15:50,Tbilisi,54915c4374,"""JoKer Express"" - Марки н боом 4 штуки!",True,нет,3,Тбилиси,4 гр,0.0082,4815,1770,159,,,,,,,60.0,,,,,,"""JoKer Express"" - Marki n boom 4 shtuki!"
23,23,26-04-2020 18:15:50,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0512,29887,10940,985,400.0,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
24,24,26-04-2020 18:15:50,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0703,41094,15043,1355,550.0,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
25,25,26-04-2020 18:15:50,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,6,Тбилиси,5 гр,0.0217,12702,4650,419,170.0,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
26,26,26-04-2020 18:15:50,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0255,14869,5443,490,199.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
27,27,26-04-2020 18:15:50,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0255,14869,5443,490,199.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
28,28,26-04-2020 18:15:50,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0255,16363,5990,539,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
29,29,26-04-2020 18:15:50,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,6,Тбилиси,5 гр,0.0255,14869,5443,490,199.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
30,30,26-04-2020 18:15:50,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2957,190000,87429,6265,,,,,,,,,,,,,reagent 25i nbome. 5gr
31,31,26-04-2020 18:15:50,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3488,224149,82050,7389,3000.0,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
32,32,26-04-2020 18:15:50,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,10,Тбилиси,5 гр,0.1123,64928,23767,2140,869.0,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
33,33,26-04-2020 18:15:50,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,5,Тбилиси,5 гр,0.0244,14121,5169,466,189.0,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
34,34,26-04-2020 18:17:02,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0632,36536,13374,1204,489.0,,,,,,,,,,,,💘✨5g. MDMA ✨💘
