,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Gldani,Vazisubani,Varketili,Didube,€,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,26-05-2020 06:46:33,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g.,True,1,нет,Тбилиси,0.25 гр,0.0109,7160,2705,240,100.0,,,,,,,,,,,,,Iranian Sirec 0.25g.
1,1,26-05-2020 06:46:33,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 0.5,True,2,нет,Тбилиси,0.5 гр,0.0033,2148,812,72,30.0,,,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
2,2,26-05-2020 06:46:33,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,,3,нет,Тбилиси,0.5 гр,0.0032,2076,784,70,29.0,True,,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
3,3,26-05-2020 06:46:33,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 1 Gr,True,1,нет,Тбилиси,1 гр,0.0057,3723,1407,125,52.0,,,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 1 Gr
4,4,26-05-2020 06:46:33,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0894,64437,24345,2160,900.0,,,,,,,,,,,,,Metadon 1gr
5,5,26-05-2020 06:46:33,Tbilisi,0dec0e1c48,2gr HYBRID buds,,15,нет,Тбилиси,2 гр,0.0096,6300,2380,211,88.0,,True,,,,,,,,,,,2gr HYBRID buds
6,6,26-05-2020 06:46:33,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,2 гр,0.0077,5012,1894,168,70.0,,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
7,7,26-05-2020 06:46:33,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0116,7518,2840,252,105.0,,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
8,8,26-05-2020 06:46:33,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,True,3,нет,Тбилиси,5 гр,0.0152,9952,3760,334,139.0,,,True,,,,,,,,,,5 gr georgian weed. Package on magnet
9,9,26-05-2020 06:46:33,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),True,12,нет,Тбилиси,5 гр,0.013000000000000001,8520,3219,286,119.0,,,True,True,,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
