,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,26-05-2020 16:46:04,Tbilisi,U26MW,Skyhigh,HQ Euro Hashish 0.5 g,True,4,нет,Тбилиси,0.5 гр,0.0061,3913,1491,132,55,,,,,,,,,,HQ Euro Hashish 0.5 g
1,26-05-2020 16:46:04,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,True,20,нет,Тбилиси,0.5 гр,0.0032,2063,786,70,29,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
2,26-05-2020 16:46:04,Tbilisi,6P9R,RickNMorty,VHQ Tutankhamon Buds ONLY high THc 0.5,,21,нет,Тбилиси,0.5 гр,0.0033,2134,813,72,30,True,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
3,26-05-2020 16:46:04,Tbilisi,6P9R,RickNMorty,VHQ Tutankhamon Buds ONLY high THc 1 Gr,,7,нет,Тбилиси,1 гр,0.0057,3699,1410,125,52,True,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 1 Gr
4,26-05-2020 16:46:04,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.0903,64027,24399,2160,900,True,,,,,,,,,Metadon 1gr
5,26-05-2020 16:46:04,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,,8,нет,Тбилиси,2 гр,0.0097,6260,2386,211,88,,True,,,,,,,,2gr HYBRID buds
6,26-05-2020 16:46:04,Tbilisi,18FB,Mr.Green Tbilis,3 G Hybrid Marijuana Big Buds,,2,нет,Тбилиси,3 гр,0.0143,9248,3524,312,130,True,,,,,,,,,3 G Hybrid Marijuana Big Buds
7,26-05-2020 16:46:04,Tbilisi,QUZIV,Hollyweed,3g superskunk top class buds.,,4,нет,Тбилиси,3 гр,0.0139,8893,3389,300,125,,True,,,,,,,,3g superskunk top class buds.
8,26-05-2020 16:46:04,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,,4,нет,Тбилиси,3 гр,0.0117,7470,2847,252,105,True,,,,,,,,,3x Extasy Duracell 223mg MDMA
9,26-05-2020 16:46:04,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 4 шт. вес таблетки 450mg,,6,нет,Тбилиси,4 гр,0.0118,7612,2901,257,107,True,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
10,26-05-2020 16:46:04,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,,3,нет,Тбилиси,5 гр,0.0195,12450,4744,420,175,True,,,,,,,,,5x Extasy Duracell 223mg MDMA.
11,26-05-2020 16:46:04,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,,1,нет,Тбилиси,10 гр,0.0481,32013,12200,1080,450,True,,,,,,,,,Gashish Evro 10gr
12,26-05-2020 16:46:04,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0823,55276,21064,1864,777,True,,,,,,,,,Gashish Evro 20gr
13,26-05-2020 16:46:04,Tbilisi,HWUW,opiopi,GABAGAMA 50 SHTUK,,2,нет,Тбилиси,50 гр,0.008,5691,2169,192,80,True,,,,,,,,,GABAGAMA 50 SHTUK
14,26-05-2020 16:46:04,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2006,142282,54220,4799,2000,True,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
15,26-05-2020 16:46:04,Tbilisi,HWUW,opiopi,GABAGAMA 150 shtuk,,1,нет,Тбилиси,150 гр,0.0186,13161,5015,444,185,True,,,,,,,,,GABAGAMA 150 shtuk
16,26-05-2020 16:46:04,Tbilisi,A3I9,Joookerrr,Бупренорфин (аналог суботекса) 0.2 гр.,,нет,4,Тбилиси,0.2 гр,0.0109,7001,2664,235,,True,,90,,,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
17,26-05-2020 16:46:04,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,,нет,5,Тбилиси,2 гр,0.0234,14940,5693,504,210,True,,,,,,,,,✨✨2gram. MDMA✨✨
18,26-05-2020 16:46:04,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,,нет,7,Тбилиси,2 гр,0.0411,26251,10004,885,369,True,,,,,,,,,❄❄2g HQ COCAINE❄❄
19,26-05-2020 16:46:04,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,7,Тбилиси,3 гр,0.0645,41191,15697,1389,579,True,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
20,26-05-2020 16:46:04,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0441,28456,10844,960,400,True,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
21,26-05-2020 16:46:04,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,True,нет,2,Тбилиси,4 гр,0.0154,9960,3795,336,140,,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
22,26-05-2020 16:46:04,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 5G",,нет,1,Тбилиси,5 гр,0.0607,39127,14911,1320,550,True,,,,,,,,,"""Kief"" Weed trichomes 5G"
23,26-05-2020 16:46:04,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0607,39127,14911,1320,550,True,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
