,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Gldani,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,27-03-2020 09:24:16,Tbilisi,F8K,BestAcid,Метадон - 0.12 г Новая партия!,True,9,нет,Тбилиси,0.12 гр,0.0141,8659,3146,285,110,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,27-03-2020 09:24:16,Tbilisi,V4T,COCAcoLA,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,,7,нет,Тбилиси,0.25 гр,0.0265,14957,5434,492,190,True,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
2,27-03-2020 09:24:16,Tbilisi,V4T,COCAcoLA,METHADONE 0.25 THE BEST QUALITY VHQ,,2,нет,Тбилиси,0.25 гр,0.0282,15744,5720,518,200,True,,,,,,,,,METHADONE 0.25 THE BEST QUALITY VHQ
3,27-03-2020 09:24:16,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0134,7794,2831,256,99,,,,,,,,,,Cocaine Pure VHQ 0.5g
4,27-03-2020 09:24:16,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,True,3,нет,Тбилиси,0.5 гр,0.0522,29127,10582,958,370,,,,,,,,,,Metadon VHQ 0.5 24/7
5,27-03-2020 09:24:16,Tbilisi,9VLN,AlienShop,☃️ 0.5g HQ COCAINE ☃️,True,3,нет,Тбилиси,0.5 гр,0.0155,8581,3117,282,109,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
6,27-03-2020 09:24:16,Tbilisi,9VLN,AlienShop,🍃0.5 hush Gorilla Glue🍃,True,1,нет,Тбилиси,0.5 гр,0.0057,3149,1144,104,40,,,,,,,,,,🍃0.5 hush Gorilla Glue🍃
7,27-03-2020 09:24:16,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,5,нет,Тбилиси,1 гр,0.007,3936,1430,130,50,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
8,27-03-2020 09:24:16,Tbilisi,SF03,CRAZYFROG,1 gr Шишки “OG KUSH VHQ”,,3,нет,Тбилиси,1 гр,0.0063,3543,1287,117,45,,True,,,,,,,,1 gr Shishki “OG KUSH VHQ”
9,27-03-2020 09:24:16,Tbilisi,03F3,geoshop,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,9,нет,Тбилиси,1 гр,0.007,3936,1430,130,50,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
10,27-03-2020 09:24:16,Tbilisi,BP40,WakeShop,Metadon VHQ 1 24/7,True,2,нет,Тбилиси,1 гр,0.0775,43297,15730,1425,550,,,,,,,,,,Metadon VHQ 1 24/7
11,27-03-2020 09:24:16,Tbilisi,X4ZM,ZYX,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !,True,7,нет,Тбилиси,1 гр,0.0076,4251,1544,140,54,,,,,,,,,,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !
12,27-03-2020 09:24:16,Tbilisi,V4T,COCAcoLA,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),,12,нет,Тбилиси,1 гр,0.0211,11808,4290,389,150,True,,,,,,,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
13,27-03-2020 09:24:16,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,3,нет,Тбилиси,1 гр,0.0264,14879,5405,490,189,,,,,,,,,,Kokain HQ 1g.
14,27-03-2020 09:24:16,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1153,70850,25740,2331,900,,,,,,,,,,Metadon 1gr
15,27-03-2020 09:24:16,Tbilisi,UJP9,420Inc,!NEW! PineApple Express Auto !NEW! (B.F)Buds Only 2G (THC 24+%),True,5,нет,Тбилиси,2 гр,0.0113,6298,2288,207,80,,,,,,,,,,!NEW! PineApple Express Auto !NEW! (B.F)Buds Only 2G (THC 24+%)
16,27-03-2020 09:24:16,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,True,3,нет,Тбилиси,2 гр,0.0111,6219,2259,205,79,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
17,27-03-2020 09:24:16,Tbilisi,JVZTQ,partyshop,2 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,2,нет,Тбилиси,2 гр,0.0127,7085,2574,233,90,,,,,,,,,,2 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
