,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Saburtalo,Vake,Didube,.,Nadzaladevi,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,27-04-2020 04:14:52,Tbilisi,OX85,amnesia420,"0,5g GORILLA GLUE #4 (Hybrid, more indica)",True,3,нет,Тбилиси,0.5 гр,0.0035,2092,766,69,28,,,,,,,,,,,,"0,5g GORILLA GLUE #4 (Hybrid, more indica)"
1,27-04-2020 04:14:52,Tbilisi,3Y9,HIGHTHC,0.5 г Skunk #1 марихуана шишки тгк 29% VHQ,,2,нет,Тбилиси,0.5 гр,0.0043,2540,930,84,34,True,,,,,,,,,,,0.5 g Skunk #1 marihuana shishki tgk 29% VHQ
2,27-04-2020 04:14:52,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0171,10087,3692,333,135,,,,,,,,,,,,Cocaine Pure VHQ 0.5g
3,27-04-2020 04:14:52,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,,4,нет,Тбилиси,0.5 гр,0.0028,1644,602,54,22,,True,True,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
4,27-04-2020 04:14:52,Tbilisi,U26MW,Skyhigh,SALE SALE INDICA MARIJUANA BUDS HIGH QUALITY PRESSED 0.5G SALE SALE,,3,нет,Тбилиси,0.5 гр,0.0024,1420,520,47,19,,True,True,,,,,,,,,SALE SALE INDICA MARIJUANA BUDS HIGH QUALITY PRESSED 0.5G SALE SALE
5,27-04-2020 04:14:52,Tbilisi,9Y6T,WeedShop,Ak - 47 0.6г,,10,нет,Тбилиси,0.6 гр,0.0029,1681,615,55,,,,,True,22,,,,,,,Ak - 47 0.6g
6,27-04-2020 04:14:52,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,,12,нет,Тбилиси,1 гр,0.0063,4109,1504,135,55,,True,,,,,,,,,,1 G Hybrid Marijuana Buds
7,27-04-2020 04:14:52,Tbilisi,OX85,amnesia420,"1g WHITE WIDOW (Hybrid, more sativa)",True,5,нет,Тбилиси,1 гр,0.0061,3586,1313,118,48,True,,,,,,,,,,,"1g WHITE WIDOW (Hybrid, more sativa)"
8,27-04-2020 04:14:52,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1037,67245,24615,2217,900,,,,,,,,,,,,Metadon 1gr
9,27-04-2020 04:14:52,Tbilisi,LGRP8,Walker12,19% ТГК Шишки Northern Lights 2 Gr Скидка 1 % через БИТКОИН !!!,,3,нет,Тбилиси,2 гр,0.0101,5977,2188,197,80,,,,,,True,,,,,,19% TGK Shishki Northern Lights 2 Gr Skidka 1 % cherez BITKOIN !!!
10,27-04-2020 04:14:52,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,2,нет,Тбилиси,2 гр,0.0101,5903,2161,195,79,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
11,27-04-2020 04:14:52,Tbilisi,P5MBO,ToppoT,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,5,нет,Тбилиси,2 гр,0.0108,6351,2325,209,85,,,,True,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
12,27-04-2020 04:14:52,Tbilisi,1MZLP,WeedbooM,✿✿ 2gr Hybrid Weeeed Indica Buds HQ ❤ SALE -30% !!!!!!!!!!!!! ❤,,1,нет,Тбилиси,2 гр,0.0098,6351,2325,209,85,,True,,,,,,,,,,✿✿ 2gr Hybrid Weeeed Indica Buds HQ ❤ SALE -30% !!!!!!!!!!!!! ❤
13,27-04-2020 04:14:52,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA. Авламбари,True,2,нет,Тбилиси,3 гр,0.0134,7845,2872,259,105,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA. Avlambari
14,27-04-2020 04:14:52,Tbilisi,9VLN,AlienShop,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈,True,2,нет,Тбилиси,3 гр,0.0152,8891,3255,293,119,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈
15,27-04-2020 04:14:52,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,1,нет,Тбилиси,3 гр,0.0152,8891,3255,293,119,,,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
16,27-04-2020 04:14:52,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0389,23909,8752,788,320,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
17,27-04-2020 04:14:52,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0376,22415,8205,739,300,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
18,27-04-2020 04:14:52,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA. Технический универ,True,1,нет,Тбилиси,5 гр,0.0224,13075,4786,431,175,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA. Tehnicheskij univer
19,27-04-2020 04:14:52,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica-,,4,нет,Тбилиси,10 гр,0.0265,15616,5716,515,209,,True,,,,,,,,,,10 gr marijuana buds. -indica-
20,27-04-2020 04:14:52,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0486,29887,10940,985,400,,,,,,,,,,,,gashish evro 10g
21,27-04-2020 04:14:52,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),,7,нет,Тбилиси,20 гр,0.0513,30260,11077,998,405,,,,True,,True,,,,,,20 gr Indica marijuana buds (hight quality)
22,27-04-2020 04:14:52,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0945,58055,21251,1914,777,,,,,,,,,,,,Gashish Evro 20gr
23,27-04-2020 04:14:52,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2304,149433,54700,4926,2000,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
24,27-04-2020 04:14:52,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,9,Тбилиси,2 гр,0.0472,27570,10092,909,369,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
