,Unnamed: 0,time_stamp,region,sell_code,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Тбилиси,Nadzaladevi,€,Авлобари,Old Tbilisi (Старый город),Батуми,Центр,Кутаиси,desc_en
0,0,27-04-2020 13:08:50,Tbilisi,16a8841259,Ak - 47 0.6г,True,2,нет,Тбилиси,0.6 гр,0.003,1793,656,59,24.0,,,,,,,,,,Ak - 47 0.6g
1,1,27-04-2020 13:08:50,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,8,нет,Тбилиси,1 гр,0.0064,4109,1504,135,55.0,True,,,,,,,,,1 G Hybrid Marijuana Buds
2,2,27-04-2020 13:08:50,Tbilisi,8ddca45a78,"1g WHITE WIDOW (Hybrid, more sativa)",,2,нет,Тбилиси,1 гр,0.0061,3586,1313,118,48.0,,True,,,,,,,,"1g WHITE WIDOW (Hybrid, more sativa)"
3,3,27-04-2020 13:08:50,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1039,67245,24615,2217,900.0,,True,,,,,,,,Metadon 1gr
4,4,27-04-2020 13:08:50,Tbilisi,83f3d55917,2G 19% ТГК Шишки Northern Lights Скидка 1 % через БИТКОИН !!!,,2,нет,Тбилиси,2 гр,0.0091,5380,1969,177,72.0,,,True,,,,,,,2G 19% TGK Shishki Northern Lights Skidka 1 % cherez BITKOIN !!!
5,5,27-04-2020 13:08:50,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,,2,нет,Тбилиси,2 гр,0.0101,5903,2161,195,79.0,,True,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
6,6,27-04-2020 13:08:50,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,True,5,нет,Тбилиси,2 гр,0.0108,6351,2325,209,85.0,,,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
7,7,27-04-2020 13:08:50,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA. Авламбари,,1,нет,Тбилиси,3 гр,0.0135,7845,2872,259,105.0,,True,,,,,,,,3x Extasy Duracell 223mg MDMA. Avlambari
8,8,27-04-2020 13:08:50,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈,,2,нет,Тбилиси,3 гр,0.0153,8891,3255,293,119.0,,True,,,,,,,,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈
9,9,27-04-2020 13:08:50,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,1,нет,Тбилиси,5 гр,0.039,23909,8752,788,320.0,,True,,,,,,,,"5 Grm MDMA , Purity A +++"
10,10,27-04-2020 13:08:50,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,,1,нет,Тбилиси,5 гр,0.0377,22415,8205,739,300.0,,True,,,,,,,,5 Grm Mdma Pure Quality A +++
11,11,27-04-2020 13:08:50,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA. Технический универ,,1,нет,Тбилиси,5 гр,0.0224,13075,4786,431,175.0,,True,,,,,,,,5x Extasy Duracell 223mg MDMA. Tehnicheskij univer
12,12,27-04-2020 13:08:50,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0487,29887,10940,985,400.0,,True,,,,,,,,gashish evro 10g
