,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Didube,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,27-04-2020 23:02:41,Tbilisi,dd631c4acf,.✨0.50 gram. MDMA✨.,True,1,нет,Тбилиси,0.5 гр,0.0088,5140,1887,170,69.0,,,,,,,,,,.✨0.50 gram. MDMA✨.
1,1,27-04-2020 23:02:41,Tbilisi,8ddca45a78,"0,5g NORTHERN LIGHTS (Indica)",True,2,нет,Тбилиси,0.5 гр,0.0035,2086,766,69,28.0,,,,,,,,,,"0,5g NORTHERN LIGHTS (Indica)"
2,2,27-04-2020 23:02:41,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,,2,нет,Тбилиси,0.5 гр,0.003,1788,656,59,24.0,True,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
3,3,27-04-2020 23:02:41,Tbilisi,1c14effaaa,Silver Haze | 90% sativa 10% indica | 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0035,2235,821,74,30.0,,,,,,,,,,Silver Haze | 90% sativa 10% indica | 0.5g
4,4,27-04-2020 23:02:41,Tbilisi,16a8841259,Ak - 47 0.6г,,2,нет,Тбилиси,0.6 гр,0.0033,1937,711,64,26.0,,True,,,,,,,,Ak - 47 0.6g
5,5,27-04-2020 23:02:41,Tbilisi,1c14effaaa,Silver Haze | 90% sativa 10% indica | 1g,True,3,нет,Тбилиси,1 гр,0.0063,4097,1504,135,55.0,,,,,,,,,,Silver Haze | 90% sativa 10% indica | 1g
6,6,27-04-2020 23:02:41,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1035,67046,24615,2217,900.0,,,,,,,,,,Metadon 1gr
7,7,27-04-2020 23:02:41,Tbilisi,83f3d55917,2G 19% ТГК Шишки Northern Lights Скидка 1 % через БИТКОИН !!!,,1,нет,Тбилиси,2 гр,0.0082,4842,1778,160,65.0,,,True,,,,,,,2G 19% TGK Shishki Northern Lights Skidka 1 % cherez BITKOIN !!!
8,8,27-04-2020 23:02:41,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA. Авламбари,True,1,нет,Тбилиси,3 гр,0.0134,7822,2872,259,105.0,,,,,,,,,,3x Extasy Duracell 223mg MDMA. Avlambari
9,9,27-04-2020 23:02:41,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈,True,2,нет,Тбилиси,3 гр,0.0152,8865,3255,293,119.0,,,,,,,,,,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈
10,10,27-04-2020 23:02:42,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0388,23839,8752,788,320.0,,,,,,,,,,"5 Grm MDMA , Purity A +++"
11,11,27-04-2020 23:02:42,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,4,нет,Тбилиси,5 гр,0.0376,22349,8205,739,300.0,,,,,,,,,,5 Grm Mdma Pure Quality A +++
12,12,27-04-2020 23:02:42,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0485,29798,10940,985,400.0,,,,,,,,,,gashish evro 10g
13,13,27-04-2020 23:02:42,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),,4,нет,Тбилиси,20 гр,0.0512,30171,11077,998,405.0,,True,True,,,,,,,20 gr Indica marijuana buds (hight quality)
14,14,27-04-2020 23:02:42,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0943,57883,21251,1914,777.0,,,,,,,,,,Gashish Evro 20gr
15,15,27-04-2020 23:02:42,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2299,148992,54700,4926,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
16,16,27-04-2020 23:02:42,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",True,нет,1,Тбилиси,0.5 гр,0.0095,5587,2051,185,75.0,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
17,17,27-04-2020 23:02:42,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 гр!!!",True,нет,2,Тбилиси,0.7 гр,0.0114,6705,2462,222,90.0,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gr!!!"
18,18,27-04-2020 23:02:42,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",True,нет,3,Тбилиси,1 гр,0.0171,10057,3692,333,135.0,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
19,19,27-04-2020 23:02:42,Tbilisi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.0411,26651,9768,874,,,,,330.0,,,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
20,20,27-04-2020 23:02:42,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,9,Тбилиси,2 гр,0.0471,27489,10092,909,369.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
21,21,27-04-2020 23:02:42,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 2.5 грамм",True,нет,1,Тбилиси,2.5 гр,0.0285,16762,6154,554,225.0,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 2.5 gramm"
