,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,0,27-05-2020 00:16:23,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g.,True,4,нет,Тбилиси,0.25 гр,0.0111,7114,2711,240,100.0,,,,,,,,,,,,Iranian Sirec 0.25g.
1,1,27-05-2020 00:16:23,Tbilisi,9610a68a0a,suboxsone 0.4 g,True,1,нет,Тбилиси,0.4 гр,0.004,2846,1084,96,40.0,,,,,,,,,,,,suboxsone 0.4 g
2,2,27-05-2020 00:16:23,Tbilisi,2f51af8159,HQ Euro Hashish 0.5 g,,4,нет,Тбилиси,0.5 гр,0.0061,3913,1491,132,55.0,True,,,,,,,,,,,HQ Euro Hashish 0.5 g
3,3,27-05-2020 00:16:23,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,,27,нет,Тбилиси,0.5 гр,0.0032,2063,786,70,29.0,True,True,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
4,4,27-05-2020 00:16:23,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 0.5,True,11,нет,Тбилиси,0.5 гр,0.0033,2134,813,72,30.0,,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
5,5,27-05-2020 00:16:23,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,1,нет,Тбилиси,0.5 гр,0.0032,2063,786,70,29.0,,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
6,6,27-05-2020 00:16:23,Tbilisi,7c395c455d,1 g indica шишки марихуана топ,True,1,нет,Тбилиси,1 гр,0.0044,2846,1084,96,40.0,,,,,,,,,,,,1 g indica shishki marihuana top
7,7,27-05-2020 00:16:23,Tbilisi,8ddca45a78,"1g LEMON SKUNK (Hybrid, more Sativa)",True,1,нет,Тбилиси,1 гр,0.0055,3557,1356,120,50.0,,,,,,,,,,,,"1g LEMON SKUNK (Hybrid, more Sativa)"
8,8,27-05-2020 00:16:23,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,1,нет,Тбилиси,1 гр,0.026000000000000002,16718,6371,564,235.0,,,,,,,,,,,,Cocaine Pure VHQ 1g
9,9,27-05-2020 00:16:23,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 1 Gr,True,1,нет,Тбилиси,1 гр,0.0057,3699,1410,125,52.0,,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 1 Gr
10,10,27-05-2020 00:16:23,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0904,64027,24399,2160,900.0,,,,,,,,,,,,Metadon 1gr
11,11,27-05-2020 00:16:23,Tbilisi,0dec0e1c48,2gr HYBRID buds,,3,нет,Тбилиси,2 гр,0.0097,6260,2386,211,88.0,,,True,,,,,,,,,2gr HYBRID buds
12,12,27-05-2020 00:16:23,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,2,нет,Тбилиси,3 гр,0.0117,7470,2847,252,105.0,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
