,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,27-05-2020 01:17:40,Tbilisi,C36EL,TripGuru,Iranian Sirec 0.25g.,True,4,нет,Тбилиси,0.25 гр,0.011,7114,2711,240,100,,,,,,,,,,,,Iranian Sirec 0.25g.
1,27-05-2020 01:17:40,Tbilisi,9Y6T,WeedShop,Ak - 47 0.5г,True,1,нет,Тбилиси,0.5 гр,0.0033,2134,813,72,30,,,,,,,,,,,,Ak - 47 0.5g
2,27-05-2020 01:17:40,Tbilisi,U26MW,Skyhigh,HQ Euro Hashish 0.5 g,,3,нет,Тбилиси,0.5 гр,0.006,3913,1491,132,55,True,,,,,,,,,,,HQ Euro Hashish 0.5 g
3,27-05-2020 01:17:40,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,,26,нет,Тбилиси,0.5 гр,0.0032,2063,786,70,29,True,True,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
4,27-05-2020 01:17:40,Tbilisi,6P9R,RickNMorty,VHQ Tutankhamon Buds ONLY high THc 0.5,True,10,нет,Тбилиси,0.5 гр,0.0033,2134,813,72,30,,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
5,27-05-2020 01:17:40,Tbilisi,OX85,amnesia420,"1g LEMON SKUNK (Hybrid, more Sativa)",True,1,нет,Тбилиси,1 гр,0.0055,3557,1356,120,50,,,,,,,,,,,,"1g LEMON SKUNK (Hybrid, more Sativa)"
6,27-05-2020 01:17:40,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0898,64027,24399,2160,900,,,,,,,,,,,,Metadon 1gr
7,27-05-2020 01:17:40,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,,3,нет,Тбилиси,2 гр,0.0097,6260,2386,211,88,,,True,,,,,,,,,2gr HYBRID buds
8,27-05-2020 01:17:40,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,2,нет,Тбилиси,3 гр,0.0116,7470,2847,252,105,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
9,27-05-2020 01:17:40,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Тбилиси,3 гр,0.0355,23476,8946,792,330,,,,True,,,,,,,,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
