,Unnamed: 0,time_stamp,region,sell_code,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,Vake,Gldani,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
0,0,27-05-2020 13:52:18,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый !!! BTC SALE 5%!!!! SALE !!!!,True,2,нет,Тбилиси,0.25 гр,0.0095,6332,2419,214,89.0,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj !!! BTC SALE 5%!!!! SALE !!!!
1,1,27-05-2020 13:52:18,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g.,,2,нет,Тбилиси,0.25 гр,0.0109,7114,2718,240,100.0,True,,,,,,,,,,,Iranian Sirec 0.25g.
2,2,27-05-2020 13:52:18,Tbilisi,8ddca45a78,">>new<< 0,5G HINDU KUSH (Indica)",,2,нет,Тбилиси,0.5 гр,0.0033,2134,815,72,30.0,True,,,,,,,,,,,">>new<< 0,5G HINDU KUSH (Indica)"
3,3,27-05-2020 13:52:18,Tbilisi,2f51af8159,HQ Euro Hashish 0.5 g,,2,нет,Тбилиси,0.5 гр,0.006,3913,1495,132,55.0,,True,,,,,,,,,,HQ Euro Hashish 0.5 g
4,4,27-05-2020 13:52:18,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,,24,нет,Тбилиси,0.5 гр,0.0032,2063,788,70,29.0,,True,True,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
5,5,27-05-2020 13:52:18,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 0.5,,15,нет,Тбилиси,0.5 гр,0.0033,2134,815,72,30.0,True,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
6,6,27-05-2020 13:52:18,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,,4,нет,Тбилиси,0.5 гр,0.0032,2063,788,70,29.0,True,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
7,7,27-05-2020 13:52:18,Tbilisi,8ddca45a78,"1g GORILLA GLUE #4 (Hybrid, more indica)",,2,нет,Тбилиси,1 гр,0.0055,3557,1359,120,50.0,True,,,,,,,,,,,"1g GORILLA GLUE #4 (Hybrid, more indica)"
8,8,27-05-2020 13:52:18,Tbilisi,8ddca45a78,1g NORTHERN LIGHTS (Indica),,2,нет,Тбилиси,1 гр,0.0055,3557,1359,120,50.0,True,,,,,,,,,,,1g NORTHERN LIGHTS (Indica)
9,9,27-05-2020 13:52:18,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 1 Gr,,1,нет,Тбилиси,1 гр,0.0057,3699,1413,125,52.0,True,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 1 Gr
10,10,27-05-2020 13:52:18,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.0893,64027,24462,2162,900.0,True,,,,,,,,,,,Metadon 1gr
11,11,27-05-2020 13:52:18,Tbilisi,0dec0e1c48,2gr HYBRID buds,,3,нет,Тбилиси,2 гр,0.0096,6260,2392,211,88.0,,,,True,,,,,,,,2gr HYBRID buds
12,12,27-05-2020 13:52:18,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,,6,нет,Тбилиси,2 гр,0.0077,4980,1903,168,70.0,True,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
13,13,27-05-2020 13:52:18,Tbilisi,4659482266,3g superskunk top class buds.,,5,нет,Тбилиси,3 гр,0.0138,8893,3398,300,125.0,,,,True,,,,,,,,3g superskunk top class buds.
14,14,27-05-2020 13:52:18,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,,2,нет,Тбилиси,3 гр,0.0116,7470,2854,252,105.0,True,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
15,15,27-05-2020 13:52:18,Tbilisi,be97026d1d,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!,,2,нет,Тбилиси,3 гр,0.0353,23476,8969,793,330.0,,,,,True,,,,,,,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!
