,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Дигоми,Gldani,Vake,Tbilisis Zgva,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,desc_en
0,27-07-2020 16:51:27,Tbilisi,EIH4,San4oPan4o,!!Hash!! Гашиш 0.5г !!! BTC SALE 5%!!!!,True,1,нет,Тбилиси,0.5 гр,0.0065,4859,1897,161,58,,,,,,,,,,,,!!Hash!! Gashish 0.5g !!! BTC SALE 5%!!!!
1,27-07-2020 16:51:27,Tbilisi,OX85,amnesia420,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)",,6,нет,Тбилиси,0.5 гр,0.003,2219,865,74,,True,31,,,,,,,,,,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)"
2,27-07-2020 16:51:27,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,,22,нет,Тбилиси,0.5 гр,0.0032,2362,921,79,,True,33,,,,,,,,,,0.5 gr HYBRID buds
3,27-07-2020 16:51:27,Tbilisi,ABOAB,ProGrow,0.5-G ---> Pineapple (BTC - Sale),True,14,нет,Тбилиси,0.5 гр,0.0027,2004,781,67,,,28,,,,,,,,,,0.5-G ---> Pineapple (BTC - Sale)
4,27-07-2020 16:51:27,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 0.5G,,29,нет,Тбилиси,0.5 гр,0.0029,2148,837,72,,True,30,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
5,27-07-2020 16:51:27,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,,2,нет,Тбилиси,1 гр,0.0057,4224,1646,141,,,59,True,,,,,,,,,1 G Hybrid Marijuana Buds
6,27-07-2020 16:51:27,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,2,нет,Тбилиси,1 гр,0.0058,4295,1674,143,,True,60,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
7,27-07-2020 16:51:27,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,1 гр,0.0058,4295,1674,143,,True,60,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
8,27-07-2020 16:51:27,Tbilisi,QUZIV,Hollyweed,1 г.Super Skunk top class buds!,,10,нет,Тбилиси,1 гр,0.0054,3937,1535,131,,,55,,True,,,,,,,,1 g.Super Skunk top class buds!
9,27-07-2020 16:51:27,Tbilisi,OX85,amnesia420,1G 👨🏻WHITE RUSSIAN (hybrid < indica),,2,нет,Тбилиси,1 гр,0.0056,4080,1590,136,,True,57,,,,,,,,,,1G 👨🏻WHITE RUSSIAN (hybrid < indica)
10,27-07-2020 16:51:27,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,,5,нет,Тбилиси,1 гр,0.0048,3508,1367,117,,True,49,,,,,,,,,,1gr HYBRID o.g
11,27-07-2020 16:51:27,Tbilisi,8B31,GEOWEEDSHOP,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,4,нет,Тбилиси,1 гр,0.0048,3508,1367,117,,True,49,,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
12,27-07-2020 16:51:27,Tbilisi,QVK5,Galiak,BlueBerry Is Back 1G шишки центровки !! центровки,,1,нет,Тбилиси,1 гр,0.0068,5011,1953,167,,,70,True,,,,,,,,,BlueBerry Is Back 1G shishki tsentrovki !! tsentrovki
13,27-07-2020 16:51:27,Tbilisi,5LZ,ExtraShop,Hybrid Bomba 1 г. TOP BUDS,,1,нет,Тбилиси,1 гр,0.0049,3937,1535,131,,True,55,,,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
14,27-07-2020 16:51:27,Tbilisi,7U9YP,ChitosPizz,Сирец Иран 1гр,,1,нет,Тбилиси,1 гр,0.023,18612,7254,621,,True,260,,,,,,,,,,Sirets Iran 1gr
15,27-07-2020 16:51:27,Tbilisi,H9FHF,OldStar,Шишка добрая 1 g,,23,нет,Тбилиси,1 гр,0.0048,3600,1657,120,,True,,,,,,,,,,,Shishka dobraja 1 g
16,27-07-2020 16:51:27,Tbilisi,9CK,Hyperboy,🍬🍬🍬Ex Masserati Red 465 mg 1pc🍬🍬🍬,,9,нет,Тбилиси,1 гр,0.0054,3937,1535,131,,True,55,,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 1pc🍬🍬🍬
17,27-07-2020 16:51:27,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,,4,нет,Тбилиси,2 гр,0.0096,7087,2762,237,,,99,True,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
