,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,28-02-2020 16:23:40,Tbilisi,OSN8,KOLOVSKI,Bio-555 вес 0.5,True,1,нет,Тбилиси,0.5 гр,0.0056,3685,1355,123,55,,,,,,,,,Bio-555 ves 0.5
1,28-02-2020 16:23:40,Tbilisi,MJVS,Nordic,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука),True,2,нет,Тбилиси,0.8 гр,0.0169,10049,3696,335,150,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka)
2,28-02-2020 16:23:40,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,3,нет,Тбилиси,1 гр,0.0049,3216,1183,107,48,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
3,28-02-2020 16:23:40,Tbilisi,ABOAB,ProGrow,1G -- ФОТО РАБОТАЕТ -> Sativa,,12,нет,Тбилиси,1 гр,0.0044,2680,986,89,40,True,,,,,,,,1G -- FOTO RABOTAET -> Sativa
4,28-02-2020 16:23:40,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0195,12728,4682,424,190,,,,,,,,,Cocaine Pure VHQ 1g
5,28-02-2020 16:23:40,Tbilisi,P285,Trippyshop,NEW SALE Cocaine HQ 1 гр.,True,5,нет,Тбилиси,1 гр,0.0215,12661,4657,422,189,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
6,28-02-2020 16:23:40,Tbilisi,0WE,Khachapuri,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,4,нет,Тбилиси,1 гр,0.0195,12058,4435,402,180,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
7,28-02-2020 16:23:40,Tbilisi,LYHBG,Playboy,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,5,нет,Тбилиси,2 гр,0.041,24117,8870,804,360,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
8,28-02-2020 16:23:40,Tbilisi,5JG6,BenderMan,"Cocaine, 2 g",True,1,нет,Тбилиси,2 гр,0.0455,26796,9856,894,400,,,,,,,,,"Cocaine, 2 g"
9,28-02-2020 16:23:40,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!!,,2,нет,Тбилиси,2 гр,0.0357,21437,7885,715,320,True,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!!
10,28-02-2020 16:23:40,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 2g,,3,нет,Тбилиси,2 гр,0.0394,23380,8599,780,349,,True,,,,,,,Kokain KOLUMBIA 2g
11,28-02-2020 16:23:40,Tbilisi,SM7B,SWEETWEED,гашиш евро 5г,True,1,нет,Тбилиси,5 гр,0.0227,14068,5174,469,210,,,,,,,,,gashish evro 5g
12,28-02-2020 16:23:40,Tbilisi,0WE,Khachapuri,🍃 5гр ГАШИШ 🍃,True,2,нет,Тбилиси,5 гр,0.0292,18088,6653,603,270,,,,,,,,,🍃 5gr GAShISh 🍃
13,28-02-2020 16:23:40,Tbilisi,0WE,Khachapuri,"10 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,1,нет,Тбилиси,10 гр,0.0357,22117,8133,732,,,,300,,,,,,"10 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
