,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,28-02-2020 20:42:15,Tbilisi,adf2d19b92,Bio-555 вес 0.5,True,1,нет,Тбилиси,0.5 гр,0.0055,3685,1359,123,55.0,,,,,,,,,Bio-555 ves 0.5
1,1,28-02-2020 20:42:15,Tbilisi,1c14effaaa,Silver Haze | 90% sativa 10% indica | 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0029,1943,716,65,29.0,,,,,,,,,Silver Haze | 90% sativa 10% indica | 0.5g
2,2,28-02-2020 20:42:15,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,6,нет,Тбилиси,1 гр,0.0048,3216,1186,107,48.0,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
3,3,28-02-2020 20:42:15,Tbilisi,8219f5e7b8,"LSD - 250 ug, 1piece",True,4,нет,Тбилиси,1 гр,0.0045,2680,988,89,40.0,,,,,,,,,"LSD - 250 ug, 1piece"
4,4,28-02-2020 20:42:15,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,True,1,нет,Тбилиси,1 гр,0.0211,12661,4668,422,189.0,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
5,5,28-02-2020 20:42:15,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,4,нет,Тбилиси,1 гр,0.0191,12058,4446,402,180.0,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
6,6,28-02-2020 20:42:15,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,8,нет,Тбилиси,2 гр,0.0085,5694,2100,190,85.0,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
7,7,28-02-2020 20:42:15,Tbilisi,8219f5e7b8,"Cocaine, 2 g",True,1,нет,Тбилиси,2 гр,0.0446,26796,9880,894,400.0,,,,,,,,,"Cocaine, 2 g"
8,8,28-02-2020 20:42:15,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!!,True,3,нет,Тбилиси,2 гр,0.035,21437,7904,715,320.0,True,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!!
9,9,28-02-2020 20:42:15,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 2g,,3,нет,Тбилиси,2 гр,0.0385,23380,8620,780,349.0,,True,,,,,,,Kokain KOLUMBIA 2g
