,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Vake,Gldani,€,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,28-03-2020 09:50:24,Tbilisi,99accec7c7,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,True,7,нет,Тбилиси,0.25 гр,0.0277,14769,5415,489,190.0,,,,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
1,1,28-03-2020 09:50:24,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,,2,нет,Тбилиси,0.5 гр,0.0545,28761,10545,953,370.0,True,,,,,,,,,,,Metadon VHQ 0.5 24/7
2,2,28-03-2020 09:50:24,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,1,нет,Тбилиси,1 гр,0.0065,3420,1254,113,44.0,True,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
3,3,28-03-2020 09:50:24,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,17,нет,Тбилиси,1 гр,0.008,4664,1710,155,60.0,True,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
4,4,28-03-2020 09:50:24,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,4,нет,Тбилиси,1 гр,0.0074,3887,1425,129,50.0,True,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
5,5,28-03-2020 09:50:24,Tbilisi,7c395c455d,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,16,нет,Тбилиси,1 гр,0.0074,3887,1425,129,50.0,True,,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
6,6,28-03-2020 09:50:24,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,,3,нет,Тбилиси,1 гр,0.0267,14691,5387,487,189.0,True,,,,,,,,,,,Cocaine Pure VHQ 1g
7,7,28-03-2020 09:50:24,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,,5,нет,Тбилиси,1 гр,0.0055,3187,1169,106,41.0,True,,,,,,,,,,,Hybrid Ana-sha 1G.
8,8,28-03-2020 09:50:24,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,,2,нет,Тбилиси,1 гр,0.081,42753,15675,1416,550.0,True,,,,,,,,,,,Metadon VHQ 1 24/7
9,9,28-03-2020 09:50:24,Tbilisi,ae784bef73,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !,,2,нет,Тбилиси,1 гр,0.008,4198,1539,139,54.0,True,,,,,,,,,,,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !
10,10,28-03-2020 09:50:24,Tbilisi,22610cd7c4,"NEW PRODUCT,,💣💣💣 Amsterdam weed sativa 1гр",,7,нет,Тбилиси,1 гр,0.0063,3343,1226,111,43.0,True,,,,,,,,,,,"NEW PRODUCT,,💣💣💣 Amsterdam weed sativa 1gr"
11,11,28-03-2020 09:50:24,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,,1,нет,Тбилиси,1 гр,0.028999999999999998,15935,5843,528,205.0,True,,,,,,,,,,,VHQ BEST Cocaine 1g.
12,12,28-03-2020 09:50:24,Tbilisi,99accec7c7,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),True,10,нет,Тбилиси,1 гр,0.0221,11660,4275,386,150.0,,,,,,,,,,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
13,13,28-03-2020 09:50:24,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,3,нет,Тбилиси,1 гр,0.0264,13914,5102,461,179.0,,True,,,,,,,,,,Kokain KOLUMBIA 1g
14,14,28-03-2020 09:50:24,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1205,69959,25650,2318,900.0,True,,,,,,,,,,,Metadon 1gr
15,15,28-03-2020 09:50:24,Tbilisi,edfbad0151,!NEW! PineApple Express Auto !NEW! (B.F)Buds Only 2G (THC 24+%),,4,нет,Тбилиси,2 гр,0.0118,6219,2280,206,80.0,True,,,,,,,,,,,!NEW! PineApple Express Auto !NEW! (B.F)Buds Only 2G (THC 24+%)
16,16,28-03-2020 09:50:24,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,4,нет,Тбилиси,2 гр,0.0116,6141,2252,203,79.0,True,,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
