,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,28-04-2020 21:57:29,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,2,нет,Тбилиси,0.5 гр,0.0173,10067,3679,333,135.0,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,1,28-04-2020 21:57:29,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,True,1,нет,Тбилиси,0.5 гр,0.003,1790,654,59,24.0,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
2,2,28-04-2020 21:57:29,Tbilisi,8ddca45a78,"1g WHITE WIDOW (Hybrid, more sativa)",True,2,нет,Тбилиси,1 гр,0.0061,3579,1308,118,48.0,,,,,,,,,,"1g WHITE WIDOW (Hybrid, more sativa)"
3,3,28-04-2020 21:57:29,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,4,нет,Тбилиси,1 гр,0.0298,17524,6404,579,235.0,,,,,,,,,,Cocaine Pure VHQ 1g
4,4,28-04-2020 21:57:29,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1037,67114,24525,2217,900.0,,,,,,,,,,Metadon 1gr
5,5,28-04-2020 21:57:29,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,True,1,нет,Тбилиси,1 гр,0.013999999999999999,8128,2970,268,109.0,,,,,,,,,,✨ 1g. MDMA ✨
6,6,28-04-2020 21:57:29,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,2 гр,0.009000000000000001,5220,1908,172,70.0,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
7,7,28-04-2020 21:57:29,Tbilisi,2f51af8159,Weed Hybrid Somango 2 G,,5,нет,Тбилиси,2 гр,0.0071,4176,1526,138,56.0,True,,,,,,,,,Weed Hybrid Somango 2 G
8,8,28-04-2020 21:57:29,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0134,7830,2861,259,105.0,,,,,,,,,,3x Extasy Duracell 223mg MDMA
9,9,28-04-2020 21:57:29,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 3g TOP VHQ,True,4,нет,Тбилиси,3 гр,0.0127,7457,2725,246,100.0,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
10,10,28-04-2020 21:57:29,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds HQ ❤,,1,нет,Тбилиси,4 гр,0.0177,10440,3815,345,140.0,True,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds HQ ❤
11,11,28-04-2020 21:57:29,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0389,23863,8720,788,320.0,,,,,,,,,,"5 Grm MDMA , Purity A +++"
12,12,28-04-2020 21:57:29,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0376,22371,8175,739,300.0,,,,,,,,,,5 Grm Mdma Pure Quality A +++
13,13,28-04-2020 21:57:29,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA. Технический универ,True,2,нет,Тбилиси,5 гр,0.0224,13050,4769,431,175.0,,,,,,,,,,5x Extasy Duracell 223mg MDMA. Tehnicheskij univer
14,14,28-04-2020 21:57:29,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 5g TOP VHQ,True,5,нет,Тбилиси,5 гр,0.0203,11931,4360,394,160.0,,,,,,,,,,AKA-47 ONLY BUDS 5g TOP VHQ
15,15,28-04-2020 21:57:29,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,True,12,нет,Тбилиси,10 гр,0.0265,15585,5695,515,209.0,True,True,True,,,,,,,10 gr marijuana buds. -indica-
16,16,28-04-2020 21:57:29,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 10g TOP VHQ,True,2,нет,Тбилиси,10 гр,0.038,22371,8175,739,300.0,,,,,,,,,,AKA-47 ONLY BUDS 10g TOP VHQ
17,17,28-04-2020 21:57:29,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0487,29828,10900,985,400.0,,,,,,,,,,gashish evro 10g
18,18,28-04-2020 21:57:29,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),,6,нет,Тбилиси,20 гр,0.0513,30201,11036,998,405.0,True,True,,,,,,,,20 gr Indica marijuana buds (hight quality)
19,19,28-04-2020 21:57:29,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0945,57941,21173,1914,777.0,,,,,,,,,,Gashish Evro 20gr
20,20,28-04-2020 21:57:29,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2305,149141,54500,4926,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
21,21,28-04-2020 21:57:29,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 гр!!!",True,нет,2,Тбилиси,0.7 гр,0.0133,7830,2861,259,105.0,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gr!!!"
22,22,28-04-2020 21:57:29,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",True,нет,2,Тбилиси,1 гр,0.0171,10067,3679,333,135.0,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
23,23,28-04-2020 21:57:29,Tbilisi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.0412,26656,9768,874,,,,,330.0,,,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
24,24,28-04-2020 21:57:29,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,8,Тбилиси,2 гр,0.0472,27517,10055,909,369.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
25,25,28-04-2020 21:57:29,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 2.5 грамм",True,нет,1,Тбилиси,2.5 гр,0.0285,16778,6131,554,225.0,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 2.5 gramm"
26,26,28-04-2020 21:57:29,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0741,43176,15778,1426,579.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
27,27,28-04-2020 21:57:29,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0507,29828,10900,985,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
28,28,28-04-2020 21:57:29,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0697,41014,14988,1355,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
29,29,28-04-2020 21:57:29,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,4,Тбилиси,5 гр,0.0216,12677,4633,419,170.0,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
