,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,0,28-05-2020 02:32:40,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g.,True,1,нет,Тбилиси,0.25 гр,0.0106,7106,2718,241,100.0,,,,,,,,,,Iranian Sirec 0.25g.
1,1,28-05-2020 02:32:40,Tbilisi,2f51af8159,HQ Euro Hashish 0.5 g,,6,нет,Тбилиси,0.5 гр,0.0059,3909,1495,133,55.0,True,,,,,,,,,HQ Euro Hashish 0.5 g
2,2,28-05-2020 02:32:40,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,,13,нет,Тбилиси,0.5 гр,0.0031,2061,788,70,29.0,True,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
3,3,28-05-2020 02:32:40,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 0.5,True,1,нет,Тбилиси,0.5 гр,0.0032,2132,815,72,30.0,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
4,4,28-05-2020 02:32:40,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,,1,нет,Тбилиси,0.5 гр,0.013999999999999999,9238,3533,313,130.0,True,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
5,5,28-05-2020 02:32:40,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,3,нет,Тбилиси,1 гр,0.025,16700,6387,566,235.0,,,,,,,,,,Cocaine Pure VHQ 1g
6,6,28-05-2020 02:32:40,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0871,63957,24462,2168,900.0,,,,,,,,,,Metadon 1gr
7,7,28-05-2020 02:32:40,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,1,нет,Тбилиси,1 гр,0.0257,16984,6496,576,239.0,True,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
8,8,28-05-2020 02:32:40,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,17,нет,Тбилиси,2 гр,0.0094,6254,2392,212,88.0,,,,,,,,,,2gr HYBRID buds
9,9,28-05-2020 02:32:40,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,5,нет,Тбилиси,2 гр,0.0075,4974,1903,169,70.0,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
