,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,28-05-2020 16:01:53,Tbilisi,C36EL,TripGuru,Iranian Sirec 0.25g.,True,6,нет,Тбилиси,0.25 гр,0.0105,7110,2711,241,100,,,,,,,,,,,Iranian Sirec 0.25g.
1,28-05-2020 16:01:53,Tbilisi,U26MW,Skyhigh,HQ Euro Hashish 0.5 g,,6,нет,Тбилиси,0.5 гр,0.0058,3911,1491,133,55,True,,,,,,,,,,HQ Euro Hashish 0.5 g
2,28-05-2020 16:01:53,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,,16,нет,Тбилиси,0.5 гр,0.0031,2062,786,70,29,True,True,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
3,28-05-2020 16:01:53,Tbilisi,6P9R,RickNMorty,VHQ Tutankhamon Buds ONLY high THc 0.5,True,5,нет,Тбилиси,0.5 гр,0.0032,2133,813,72,30,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
4,28-05-2020 16:01:53,Tbilisi,9VLN,AlienShop,☃️ 0.5g New Columbian COCAINE ☃️,,1,нет,Тбилиси,0.5 гр,0.0138,9243,3524,313,130,True,,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
5,28-05-2020 16:01:53,Tbilisi,6P9R,RickNMorty,VHQ Tutankhamon Buds ONLY high THc 1 Gr,True,5,нет,Тбилиси,1 гр,0.0055,3697,1410,125,52,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 1 Gr
6,28-05-2020 16:01:53,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.086,63991,24399,2168,900,,,,,,,,,,,Metadon 1gr
7,28-05-2020 16:01:53,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,True,10,нет,Тбилиси,2 гр,0.0093,6257,2386,212,88,,,,,,,,,,,2gr HYBRID buds
8,28-05-2020 16:01:53,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,8,нет,Тбилиси,2 гр,0.0074,4977,1898,169,70,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
9,28-05-2020 16:01:53,Tbilisi,3TGJ9,Elegant,3g. марихуана шишки Critical,True,3,нет,Тбилиси,3 гр,0.0143,10665,4067,361,150,,,,,,,,,,,3g. marihuana shishki Critical
10,28-05-2020 16:01:53,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0112,7466,2847,253,105,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
11,28-05-2020 16:01:53,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!,,2,нет,Тбилиси,3 гр,0.034,23463,8946,795,330,,,True,,,,,,,,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!
12,28-05-2020 16:01:53,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 4 шт. вес таблетки 450mg,True,2,нет,Тбилиси,4 гр,0.0113,7608,2901,258,107,,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
13,28-05-2020 16:01:53,Tbilisi,EIH4,San4oPan4o,!!Critical Kush 5g!! !!! BTC SALE 5% !!!,,2,нет,Тбилиси,5 гр,0.0246,16993,6479,576,239,,,,True,,,,,,,!!Critical Kush 5g!! !!! BTC SALE 5% !!!
14,28-05-2020 16:01:53,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,,2,нет,Тбилиси,5 гр,0.0146,9883,3768,335,139,,,,True,,,,,,,5 gr georgian weed. Package on magnet
15,28-05-2020 16:01:53,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.0186,12443,4744,422,175,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
16,28-05-2020 16:01:53,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - INDICA - 5 G.,True,2,нет,Тбилиси,5 гр,0.0266,17775,6778,602,250,,,,,,,,,,,MARIXYANA - INDICA - 5 G.
17,28-05-2020 16:01:53,Tbilisi,2LY77,SveetWeed,10 - GRAMM BEASTWEED,True,1,нет,Тбилиси,10 гр,0.0167,12443,4744,422,175,,,,,,,,,,,10 - GRAMM BEASTWEED
18,28-05-2020 16:01:53,Tbilisi,18FB,Mr.Green Tbilis,10G Hybrid Marijuana Leafs,True,1,нет,Тбилиси,10 гр,0.0142,9599,3660,325,135,,,,,,,,,,,10G Hybrid Marijuana Leafs
19,28-05-2020 16:01:53,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,True,1,нет,Тбилиси,10 гр,0.0459,31996,12200,1084,450,,,,,,,,,,,Gashish Evro 10gr
20,28-05-2020 16:01:53,Tbilisi,HWUW,opiopi,GABAGAMA 20 SHTUK,True,8,нет,Тбилиси,20 гр,0.0034,2560,976,87,36,,,,,,,,,,,GABAGAMA 20 SHTUK
21,28-05-2020 16:01:53,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0784,55246,21064,1872,777,,,,,,,,,,,Gashish Evro 20gr
22,28-05-2020 16:01:53,Tbilisi,HWUW,opiopi,GABAGAMA 50 SHTUK,True,2,нет,Тбилиси,50 гр,0.0076,5688,2169,193,80,,,,,,,,,,,GABAGAMA 50 SHTUK
23,28-05-2020 16:01:53,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1912,142202,54220,4818,2000,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
24,28-05-2020 16:01:53,Tbilisi,HWUW,opiopi,GABAGAMA 150 shtuk,True,1,нет,Тбилиси,150 гр,0.0177,13154,5015,446,185,,,,,,,,,,,GABAGAMA 150 shtuk
25,28-05-2020 16:01:53,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,True,нет,5,Тбилиси,2 гр,0.0223,14931,5693,506,210,,,,,,,,,,,✨✨2gram. MDMA✨✨
26,28-05-2020 16:01:53,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,7,Тбилиси,2 гр,0.0392,26236,10004,889,369,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
27,28-05-2020 16:01:53,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.0615,41168,15697,1395,579,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
