,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Nadzaladevi,Saburtalo,Gldani,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,28-06-2020 17:49:12,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,4,нет,Тбилиси,0.25 гр,0.01,6824,2653,235,88.0,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,28-06-2020 17:49:12,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,,8,нет,Тбилиси,0.5 гр,0.0035,2281,888,79,,True,33.0,,,,,,,,,0.5 gr HYBRID buds
2,2,28-06-2020 17:49:12,Tbilisi,21e6be39fb,"Black Geroin, Sirec 0.5g",,5,нет,Тбилиси,0.5 гр,0.0156,10369,4035,358,,True,150.0,,,,,,,,,"Black Geroin, Sirec 0.5g"
3,3,28-06-2020 17:49:12,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,5,нет,Тбилиси,0.5 гр,0.0031,2074,807,72,,True,30.0,True,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
4,4,28-06-2020 17:49:12,Tbilisi,8e86176694,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr",,5,нет,Тбилиси,0.5 гр,0.0027,2005,780,69,,,29.0,,True,,,,,,,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr"
5,5,28-06-2020 17:49:12,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,,1,нет,Тбилиси,0.5 гр,0.003,2005,780,69,,,29.0,,True,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
6,6,28-06-2020 17:49:12,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),,19,нет,Тбилиси,1 гр,0.0055,3664,1426,126,,,53.0,,True,,,,,,,1G ---> Big Devil (BTC - Sale)
7,7,28-06-2020 17:49:12,Tbilisi,64284550d9,1G ---> Pineapple (BTC - Sale),,12,нет,Тбилиси,1 гр,0.0052,3456,1345,119,,True,50.0,,,,,,,,,1G ---> Pineapple (BTC - Sale)
8,8,28-06-2020 17:49:12,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,,5,нет,Тбилиси,1 гр,0.0313,20669,8043,713,,True,299.0,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
9,9,28-06-2020 17:49:12,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,1,нет,Тбилиси,1 гр,0.0062,4148,1614,143,,,60.0,,,True,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
10,10,28-06-2020 17:49:12,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,,1,нет,Тбилиси,1 гр,0.0062,4148,1614,143,,True,60.0,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
11,11,28-06-2020 17:49:12,Tbilisi,e56bb6ca93,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,1 гр,0.0051,3387,1318,117,,True,49.0,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
12,12,28-06-2020 17:49:12,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,2,нет,Тбилиси,2 гр,0.0078,5185,2018,179,,True,75.0,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
13,13,28-06-2020 17:49:12,Tbilisi,16a8841259,листя+бошки в трихомах 2г,,2,нет,Тбилиси,2 гр,0.0038,2765,1076,95,,True,40.0,,,,,,,,,listja+boshki v trihomah 2g
14,14,28-06-2020 17:49:12,Tbilisi,aeb8abccb9,🍁 2gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,2 гр,0.0088,5876,2287,203,,,85.0,,True,,,,,,,🍁 2gr Hybrid Weed Indica Buds VHQ ❤
15,15,28-06-2020 17:49:12,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,,22,нет,Тбилиси,3 гр,0.009000000000000001,6014,2340,207,,True,87.0,,,,True,,,,,3 gr georgian weed. Package on magnet
16,16,28-06-2020 17:49:12,Tbilisi,7bd1a5deba,5 + GRAMM NEW BEASTWEED,,2,нет,Тбилиси,5 гр,0.0099,7258,2825,250,,True,105.0,,,,,,,,,5 + GRAMM NEW BEASTWEED
17,17,28-06-2020 17:49:12,Tbilisi,e56bb6ca93,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,20,нет,Тбилиси,5 гр,0.0072,4770,1856,164,,True,69.0,,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
18,18,28-06-2020 17:49:12,Tbilisi,d04eeb6525,5г. GEO Марихуана бошки,,7,нет,Тбилиси,5 гр,0.013999999999999999,10300,4008,355,,True,149.0,,,,,,,,,5g. GEO Marihuana boshki
19,19,28-06-2020 17:49:12,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,4,нет,Тбилиси,5 гр,0.0052,3802,1480,131,,True,55.0,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
20,20,28-06-2020 17:49:12,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,9,нет,Тбилиси,10 гр,0.0248,16522,6429,570,,True,239.0,,,,,,,,,10 gr georgian weed. Package on magnet
