,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Vake,€,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,29-03-2020 00:14:21,Tbilisi,V4T,COCAcoLA,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,True,5,нет,Тбилиси,0.25 гр,0.0274,14769,5415,489,190,,,,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
1,29-03-2020 00:14:21,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,,2,нет,Тбилиси,0.5 гр,0.0138,7696,2822,255,99,True,,,,,,,,,,,Cocaine Pure VHQ 0.5g
2,29-03-2020 00:14:21,Tbilisi,V4T,COCAcoLA,MDMA 0.5gr огромные камни!,True,13,нет,Тбилиси,0.5 гр,0.0095,5053,1853,167,65,,,,,,,,,,,,MDMA 0.5gr ogromnye kamni!
3,29-03-2020 00:14:21,Tbilisi,BP40,WakeShop,Metadon VHQ 0.5 24/7,,1,нет,Тбилиси,0.5 гр,0.0538,28761,10545,953,370,True,,,,,,,,,,,Metadon VHQ 0.5 24/7
4,29-03-2020 00:14:21,Tbilisi,UJP9,420Inc,!NEW! PineApple Express Auto !NEW! (B.F) Buds Only 1G (THC 24+%),,9,нет,Тбилиси,1 гр,0.0063,3343,1226,111,43,True,,,,,,,,,,,!NEW! PineApple Express Auto !NEW! (B.F) Buds Only 1G (THC 24+%)
5,29-03-2020 00:14:21,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,,1,нет,Тбилиси,1 гр,0.0064,3420,1254,113,44,True,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
6,29-03-2020 00:14:21,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,13,нет,Тбилиси,1 гр,0.0079,4664,1710,155,60,True,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
7,29-03-2020 00:14:21,Tbilisi,H9FHF,OldStar,1 a-pvp white,,1,нет,Тбилиси,1 гр,0.0225,12000,5522,397,,True,,,,,,,,,,,1 a-pvp white
8,29-03-2020 00:14:21,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,4,нет,Тбилиси,1 гр,0.0073,3887,1425,129,50,True,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
9,29-03-2020 00:14:21,Tbilisi,SF03,CRAZYFROG,1 gr Шишки “OG KUSH VHQ”,True,3,нет,Тбилиси,1 гр,0.0057,3032,1112,100,39,True,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
