,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Saburtalo,Didube,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,29-04-2020 03:02:44,Tbilisi,OX85,amnesia420,"0,5g NORTHERN LIGHTS (Indica)",True,1,нет,Тбилиси,0.5 гр,0.0035,2088,763,69,28,,,,,,,,,,,"0,5g NORTHERN LIGHTS (Indica)"
1,29-04-2020 03:02:44,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,2,нет,Тбилиси,0.5 гр,0.0173,10067,3679,333,135,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,29-04-2020 03:02:44,Tbilisi,U26MW,Skyhigh,Hashish Malana Charas 0.5 g,,2,нет,Тбилиси,0.5 гр,0.0066,3878,1417,128,52,True,,,,,,,,,,Hashish Malana Charas 0.5 g
3,29-04-2020 03:02:44,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,True,1,нет,Тбилиси,0.5 гр,0.003,1790,654,59,24,,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
4,29-04-2020 03:02:44,Tbilisi,U26MW,Skyhigh,SALE SALE INDICA MARIJUANA BUDS HIGH QUALITY PRESSED 0.5G SALE SALE,,1,нет,Тбилиси,0.5 гр,0.0028,1641,600,54,22,,True,,,,,,,,,SALE SALE INDICA MARIJUANA BUDS HIGH QUALITY PRESSED 0.5G SALE SALE
5,29-04-2020 03:02:44,Tbilisi,OX85,amnesia420,"1g WHITE WIDOW (Hybrid, more sativa)",True,2,нет,Тбилиси,1 гр,0.0061,3579,1308,118,48,,,,,,,,,,,"1g WHITE WIDOW (Hybrid, more sativa)"
6,29-04-2020 03:02:44,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,3,нет,Тбилиси,1 гр,0.0297,17524,6404,579,235,,,,,,,,,,,Cocaine Pure VHQ 1g
7,29-04-2020 03:02:44,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1035,67114,24525,2217,900,,,,,,,,,,,Metadon 1gr
8,29-04-2020 03:02:44,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,2 гр,0.0089,5220,1908,172,70,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
9,29-04-2020 03:02:44,Tbilisi,U26MW,Skyhigh,Weed Hybrid Somango 2 G,,3,нет,Тбилиси,2 гр,0.0071,4176,1526,138,56,,True,,,,,,,,,Weed Hybrid Somango 2 G
10,29-04-2020 03:02:44,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0134,7830,2861,259,105,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
11,29-04-2020 03:02:44,Tbilisi,PTO3,MeDuZa777,AKA-47 ONLY BUDS 3g TOP VHQ,True,4,нет,Тбилиси,3 гр,0.0127,7457,2725,246,100,,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
12,29-04-2020 03:02:44,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds HQ ❤,,1,нет,Тбилиси,4 гр,0.0177,10440,3815,345,140,,True,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds HQ ❤
13,29-04-2020 03:02:44,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0389,23863,8720,788,320,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
14,29-04-2020 03:02:44,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0376,22371,8175,739,300,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
15,29-04-2020 03:02:44,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA. Технический универ,True,2,нет,Тбилиси,5 гр,0.0224,13050,4769,431,175,,,,,,,,,,,5x Extasy Duracell 223mg MDMA. Tehnicheskij univer
16,29-04-2020 03:02:44,Tbilisi,PTO3,MeDuZa777,AKA-47 ONLY BUDS 5g TOP VHQ,True,5,нет,Тбилиси,5 гр,0.0202,11931,4360,394,160,,,,,,,,,,,AKA-47 ONLY BUDS 5g TOP VHQ
17,29-04-2020 03:02:44,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica-,True,10,нет,Тбилиси,10 гр,0.0264,15585,5695,515,209,,True,True,True,,,,,,,10 gr marijuana buds. -indica-
18,29-04-2020 03:02:44,Tbilisi,PTO3,MeDuZa777,AKA-47 ONLY BUDS 10g TOP VHQ,True,2,нет,Тбилиси,10 гр,0.038,22371,8175,739,300,,,,,,,,,,,AKA-47 ONLY BUDS 10g TOP VHQ
19,29-04-2020 03:02:44,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0486,29828,10900,985,400,,,,,,,,,,,gashish evro 10g
20,29-04-2020 03:02:44,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),,6,нет,Тбилиси,20 гр,0.0512,30201,11036,998,405,,True,True,,,,,,,,20 gr Indica marijuana buds (hight quality)
21,29-04-2020 03:02:44,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0943,57941,21173,1914,777,,,,,,,,,,,Gashish Evro 20gr
22,29-04-2020 03:02:44,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2301,149141,54500,4926,2000,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
23,29-04-2020 03:02:44,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 гр!!!",True,нет,2,Тбилиси,0.7 гр,0.0133,7830,2861,259,105,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gr!!!"
24,29-04-2020 03:02:44,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",True,нет,2,Тбилиси,1 гр,0.0171,10067,3679,333,135,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
25,29-04-2020 03:02:44,Tbilisi,A3I9,Joookerrr,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.0411,26656,9768,874,,,,,,330,,,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
26,29-04-2020 03:02:44,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,8,Тбилиси,2 гр,0.0472,27517,10055,909,369,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
27,29-04-2020 03:02:44,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 2.5 грамм",True,нет,1,Тбилиси,2.5 гр,0.0285,16778,6131,554,225,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 2.5 gramm"
28,29-04-2020 03:02:44,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.074,43176,15778,1426,579,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
29,29-04-2020 03:02:44,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0506,29828,10900,985,400,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
30,29-04-2020 03:02:44,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0696,41014,14988,1355,550,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
