,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,0,29-05-2020 00:04:20,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g.,True,4,нет,Тбилиси,0.25 гр,0.0104,7110,2711,241,100.0,,,,,,,,,,,Iranian Sirec 0.25g.
1,1,29-05-2020 00:04:20,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,16,нет,Тбилиси,0.5 гр,0.0167,11305,4310,383,159.0,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,2,29-05-2020 00:04:20,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,,8,нет,Тбилиси,0.5 гр,0.003,2062,786,70,29.0,True,True,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
3,3,29-05-2020 00:04:20,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,15,нет,Тбилиси,1 гр,0.0313,21259,8106,720,299.0,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
4,4,29-05-2020 00:04:20,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0849,63991,24399,2168,900.0,,,,,,,,,,,Metadon 1gr
5,5,29-05-2020 00:04:20,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,,1,нет,Тбилиси,1 гр,0.0114,7750,2955,263,109.0,True,,,,,,,,,,✨ 1g. MDMA ✨
6,6,29-05-2020 00:04:20,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 200ug from California 1pc🌈🌈🌈🧞‍♀️,,11,нет,Тбилиси,1 гр,0.0051,3484,1328,118,49.0,,,True,,,,,,,,🧞‍♂️🌈🌈🌈LSD 200ug from California 1pc🌈🌈🌈🧞‍♀️
7,7,29-05-2020 00:04:20,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,7,нет,Тбилиси,2 гр,0.0073,4977,1898,169,70.0,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
8,8,29-05-2020 00:04:20,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0088,6044,2304,205,85.0,True,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
9,9,29-05-2020 00:04:20,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 200ug from California 2pc🌈🌈🌈🧞‍♀️,,4,нет,Тбилиси,2 гр,0.0092,6328,2413,214,89.0,,,True,,,,,,,,🧞‍♂️🌈🌈🌈LSD 200ug from California 2pc🌈🌈🌈🧞‍♀️
10,10,29-05-2020 00:04:20,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,9,нет,Тбилиси,3 гр,0.0125,8461,3226,287,119.0,,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
11,11,29-05-2020 00:04:20,Tbilisi,8528108b62,3g. марихуана шишки Critical,True,2,нет,Тбилиси,3 гр,0.0142,10665,4067,361,150.0,,,,,,,,,,,3g. marihuana shishki Critical
12,12,29-05-2020 00:04:20,Tbilisi,be97026d1d,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!,,2,нет,Тбилиси,3 гр,0.0336,23463,8946,795,330.0,,,,True,,,,,,,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!
13,13,29-05-2020 00:04:20,Tbilisi,dd631c4acf,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,,2,нет,Тбилиси,3 гр,0.0121,8177,3118,277,115.0,True,,,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
14,14,29-05-2020 00:04:20,Tbilisi,ef3dc4de6c,Extasy GUCCI 4 шт. вес таблетки 450mg,True,1,нет,Тбилиси,4 гр,0.0111,7608,2901,258,107.0,,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
15,15,29-05-2020 00:04:20,Tbilisi,be97026d1d,!!Critical Kush 5g!! !!! BTC SALE 5% !!!,,2,нет,Тбилиси,5 гр,0.0243,16993,6479,576,239.0,,,True,,,,,,,,!!Critical Kush 5g!! !!! BTC SALE 5% !!!
16,16,29-05-2020 00:04:20,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,,1,нет,Тбилиси,5 гр,0.0144,9883,3768,335,139.0,,,True,,,,,,,,5 gr georgian weed. Package on magnet
17,17,29-05-2020 00:04:20,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.0183,12443,4744,422,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
18,18,29-05-2020 00:04:20,Tbilisi,f8a875c191,MARIXYANA - INDICA - 5 G.,True,2,нет,Тбилиси,5 гр,0.0262,17775,6778,602,250.0,,,,,,,,,,,MARIXYANA - INDICA - 5 G.
19,19,29-05-2020 00:04:20,Tbilisi,c225d2f67d,Гашиш Евро 10гр,True,1,нет,Тбилиси,10 гр,0.0453,31996,12200,1084,450.0,,,,,,,,,,,Gashish Evro 10gr
20,20,29-05-2020 00:04:20,Tbilisi,9610a68a0a,GABAGAMA 20 SHTUK,True,6,нет,Тбилиси,20 гр,0.0034,2560,976,87,36.0,,,,,,,,,,,GABAGAMA 20 SHTUK
21,21,29-05-2020 00:04:20,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0774,55246,21064,1872,777.0,,,,,,,,,,,Gashish Evro 20gr
22,22,29-05-2020 00:04:20,Tbilisi,9610a68a0a,GABAGAMA 50 SHTUK,True,2,нет,Тбилиси,50 гр,0.0075,5688,2169,193,80.0,,,,,,,,,,,GABAGAMA 50 SHTUK
23,23,29-05-2020 00:04:20,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1887,142202,54220,4818,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
24,24,29-05-2020 00:04:20,Tbilisi,9610a68a0a,GABAGAMA 150 shtuk,True,1,нет,Тбилиси,150 гр,0.0175,13154,5015,446,185.0,,,,,,,,,,,GABAGAMA 150 shtuk
25,25,29-05-2020 00:04:20,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,5,Тбилиси,2 гр,0.022000000000000002,14931,5693,506,210.0,,,,,,,,,,,✨✨2gram. MDMA✨✨
26,26,29-05-2020 00:04:20,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,7,Тбилиси,2 гр,0.0387,26236,10004,889,369.0,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
27,27,29-05-2020 00:04:20,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.0607,41168,15697,1395,579.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
