,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Vake,€,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,30-03-2020 07:42:41,Tbilisi,V4T,COCAcoLA,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,True,3,нет,Тбилиси,0.25 гр,0.0281,14769,5415,489,190,,,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
1,30-03-2020 07:42:41,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,,1,нет,Тбилиси,0.5 гр,0.0142,7696,2822,255,99,True,,,,,,,,,,Cocaine Pure VHQ 0.5g
2,30-03-2020 07:42:41,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,,1,нет,Тбилиси,0.5 гр,0.0172,9328,3420,309,120,True,,,,,,,,,,Pure COCAINE VHQ 0.5g
3,30-03-2020 07:42:41,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 грамм",,1,нет,Тбилиси,0.7 гр,0.0129,7385,2708,245,95,True,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gramm"
4,30-03-2020 07:42:41,Tbilisi,UJP9,420Inc,!NEW! PineApple Express Auto !NEW! (B.F) Buds Only 1G (THC 24+%),,13,нет,Тбилиси,1 гр,0.0064,3343,1226,111,43,True,,,,,,,,,,!NEW! PineApple Express Auto !NEW! (B.F) Buds Only 1G (THC 24+%)
5,30-03-2020 07:42:41,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,16,нет,Тбилиси,1 гр,0.0081,4664,1710,155,60,True,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
6,30-03-2020 07:42:41,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,4,нет,Тбилиси,1 гр,0.0075,3887,1425,129,50,True,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
7,30-03-2020 07:42:41,Tbilisi,8B31,GEOWEEDSHOP,1 gr auto ULTIMATE.Dutch Passion strain. 50% indica 50% sativa.,True,5,нет,Тбилиси,1 гр,0.0061,3187,1169,106,41,,,,,,,,,,,1 gr auto ULTIMATE.Dutch Passion strain. 50% indica 50% sativa.
8,30-03-2020 07:42:41,Tbilisi,03F3,geoshop,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,13,нет,Тбилиси,1 гр,0.0057,2954,1083,98,38,True,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
9,30-03-2020 07:42:41,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,,3,нет,Тбилиси,1 гр,0.0271,14691,5387,487,189,True,,,,,,,,,,Cocaine Pure VHQ 1g
10,30-03-2020 07:42:41,Tbilisi,Z5UFK,Vein,Hashish Ice-o-lator 1g скидка с бтк 5%,,2,нет,Тбилиси,1 гр,0.0109,5908,2166,196,76,True,,,,,,,,,,Hashish Ice-o-lator 1g skidka s btk 5%
