,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,30-03-2020 21:05:11,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0133,7696,2822,255,99,,,,,,,,,,,Cocaine Pure VHQ 0.5g
1,30-03-2020 21:05:11,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 грамм",True,1,нет,Тбилиси,0.7 гр,0.0121,7385,2708,245,95,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gramm"
2,30-03-2020 21:05:11,Tbilisi,UJP9,420Inc,!NEW! PineApple Express Auto !NEW! (B.F) Buds Only 1G (THC 24+%),True,5,нет,Тбилиси,1 гр,0.006,3343,1226,111,43,,,,,,,,,,,!NEW! PineApple Express Auto !NEW! (B.F) Buds Only 1G (THC 24+%)
3,30-03-2020 21:05:11,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,10,нет,Тбилиси,1 гр,0.0076,4664,1710,155,60,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
4,30-03-2020 21:05:11,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,4,нет,Тбилиси,1 гр,0.007,3887,1425,129,50,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
5,30-03-2020 21:05:11,Tbilisi,03F3,geoshop,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,11,нет,Тбилиси,1 гр,0.0053,2954,1083,98,38,,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
6,30-03-2020 21:05:11,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,4,нет,Тбилиси,1 гр,0.0254,14691,5387,487,189,,,,,,,,,,,Cocaine Pure VHQ 1g
7,30-03-2020 21:05:11,Tbilisi,7IU5,ANASHA777,Hybrid Ana-sha 1G.,True,3,нет,Тбилиси,1 гр,0.0052,3187,1169,106,41,,,,,,,,,,,Hybrid Ana-sha 1G.
8,30-03-2020 21:05:11,Tbilisi,42AF,Leningrad6,"NEW PRODUCT,,💣💣💣 Amsterdam weed sativa 1гр",True,12,нет,Тбилиси,1 гр,0.006,3343,1226,111,43,,,,,,,,,,,"NEW PRODUCT,,💣💣💣 Amsterdam weed sativa 1gr"
9,30-03-2020 21:05:11,Tbilisi,V4T,COCAcoLA,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),,9,нет,Тбилиси,1 гр,0.021,11660,4275,386,150,True,,,,,,,,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
10,30-03-2020 21:05:11,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.025,13914,5102,461,179,,True,,,,,,,,,Kokain KOLUMBIA 1g
11,30-03-2020 21:05:11,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1145,69959,25650,2318,900,,,,,,,,,,,Metadon 1gr
12,30-03-2020 21:05:11,Tbilisi,UJP9,420Inc,!NEW! PineApple Express Auto !NEW! (B.F)Buds Only 2G (THC 24+%),True,1,нет,Тбилиси,2 гр,0.0112,6219,2280,206,80,,,,,,,,,,,!NEW! PineApple Express Auto !NEW! (B.F)Buds Only 2G (THC 24+%)
13,30-03-2020 21:05:11,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,True,5,нет,Тбилиси,2 гр,0.0105,5830,2138,193,75,,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
14,30-03-2020 21:05:11,Tbilisi,BB6E,WEEDSH0P,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,3,нет,Тбилиси,2 гр,0.0097,5364,1967,178,69,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
15,30-03-2020 21:05:11,Tbilisi,SF03,CRAZYFROG,2 gr Шишки “OG KUSH VHQ”,True,6,нет,Тбилиси,2 гр,0.0097,5364,1967,178,69,,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
16,30-03-2020 21:05:11,Tbilisi,QUZIV,Hollyweed,2g super Skunk top class buds. Indica,,3,нет,Тбилиси,2 гр,0.0112,6141,2252,203,79,,,True,,,,,,,,2g super Skunk top class buds. Indica
17,30-03-2020 21:05:11,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,2 гр,0.0099,5441,1995,180,70,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
18,30-03-2020 21:05:11,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 2 g,True,4,нет,Тбилиси,2 гр,0.0458,27984,10260,927,360,,,,,,,,,,,Cocaine Pure VHQ 2 g
19,30-03-2020 21:05:11,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 2 штуки!!! (в упаковке одна бумага которую вы можете сами ножницей поднлить так как вы считайте нужным! или же если вы старец и имейте большой опыт можно целую,True,3,нет,Тбилиси,2 гр,0.0045,2721,998,90,35,,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 2 shtuki!!! (v upakovke odna bumaga kotoruju vy mozhete sami nozhnitsej podnlit' tak kak vy schitajte nuzhnym! ili zhe esli vy starets i imejte bol'shoj opyt mozhno tseluju
20,30-03-2020 21:05:11,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,True,5,нет,Тбилиси,2 гр,0.0045,2721,998,90,35,True,,,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
21,30-03-2020 21:05:11,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,2,нет,Тбилиси,3 гр,0.0154,8473,3107,281,109,,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
22,30-03-2020 21:05:11,Tbilisi,WLV7F,AGsgrowgro,metadon hydrochloride 4г,,1,нет,Тбилиси,4 гр,0.0077,4275,1568,142,55,True,,,,,,,,,,metadon hydrochloride 4g
23,30-03-2020 21:05:11,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.0407,24874,9120,824,320,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
24,30-03-2020 21:05:11,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,1,нет,Тбилиси,5 гр,0.0416,23320,8550,773,300,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
25,30-03-2020 21:05:11,Tbilisi,03F3,geoshop,5 gr Amnesia Haze шишки импорт с европы тгк 28%,True,2,нет,Тбилиси,5 гр,0.0231,12826,4703,425,165,,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
26,30-03-2020 21:05:11,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0341,19720,7257,653,,,,,230,,,,,,,5 gr mdma (skidka v bitkoin 5%)
27,30-03-2020 21:05:11,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,7,нет,Тбилиси,5 гр,0.0247,13603,4988,451,175,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
28,30-03-2020 21:05:11,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 5g.,True,2,нет,Тбилиси,5 гр,0.1016,62108,22772,2058,799,,,,,,,,,,,Cocaine Pure VHQ 5g.
29,30-03-2020 21:05:11,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,1,нет,Тбилиси,5 гр,0.007,4275,1568,142,55,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
30,30-03-2020 21:05:11,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica-,,2,нет,Тбилиси,10 гр,0.0334,18578,6812,616,239,True,,,,,,,,,,10 gr marijuana buds. -indica-
31,30-03-2020 21:05:11,Tbilisi,5ZOKU,AGROHUUB,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0558,31015,11372,1028,399,True,,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
32,30-03-2020 21:05:11,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0511,28372,10403,940,365,,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
33,30-03-2020 21:05:11,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,True,1,нет,Тбилиси,10 гр,0.0374,20755,7610,688,267,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
34,30-03-2020 21:05:55,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,1,нет,Тбилиси,10 гр,0.0109,6607,2423,219,85,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
35,30-03-2020 21:05:55,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,1,нет,Тбилиси,10 гр,0.0539,31093,11400,1030,400,,,,,,,,,,,gashish evro 10g
36,30-03-2020 21:05:55,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2555,155465,57000,5151,2000,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
37,30-03-2020 21:05:55,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 100шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,100 гр,0.0511,31093,11400,1030,400,,,,,,True,,,,,Moschnye zhirnye marki 25i nbome 100sht. Gotovye klady v Gruzii ot proizvoditelja!
38,30-03-2020 21:05:55,Tbilisi,XH0NP,XX-PABLO-XX,0.25G - METADON - VHQ,True,нет,5,Тбилиси,0.25 гр,0.0355,19433,7125,644,250,,,,,,,,,,,0.25G - METADON - VHQ
39,30-03-2020 21:05:55,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,True,1,2,Тбилиси,2 гр,0.0284,15547,5700,515,200,,,,,,,,,,,✨✨2gram. MDMA✨✨
40,30-03-2020 21:05:55,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,3,Тбилиси,2 гр,0.0524,28683,10517,950,369,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
41,30-03-2020 21:05:55,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0837,45862,16815,1519,590,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
42,30-03-2020 21:05:55,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0562,31093,11400,1030,400,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
43,30-03-2020 21:05:55,Tbilisi,JVZTQ,partyshop,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,4,Тбилиси,5 гр,0.0225,12437,4560,412,160,,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
44,30-03-2020 21:05:55,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0773,42753,15675,1416,550,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
45,30-03-2020 21:05:55,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,1,Тбилиси,5 гр,0.0237,13137,4817,435,169,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
46,30-03-2020 21:05:55,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,9,Тбилиси,5 гр,0.0239,13215,4845,438,170,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
47,30-03-2020 21:05:55,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,1,Тбилиси,5 гр,0.028,15469,5672,513,199,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
