,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Nadzaladevi,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,30-04-2020 10:19:46,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,14,нет,Тбилиси,1 гр,0.0058,4053,1496,134,55.0,,,,,,,,,,1 G Hybrid Marijuana Buds
1,1,30-04-2020 10:19:46,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,1 гр,0.0042,2948,1088,97,40.0,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
2,2,30-04-2020 10:19:46,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,True,5,нет,Тбилиси,1 гр,0.0039,3021,1115,100,41.0,,,,,,,,,,Hybrid Ana-sha 1G.
3,3,30-04-2020 10:19:46,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0867,66320,24480,2192,900.0,,,,,,,,,,Metadon 1gr
4,4,30-04-2020 10:19:46,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,4,нет,Тбилиси,2 гр,0.0106,7369,2720,244,100.0,,,,,,,,,,2 G Hybrid Marijuana Buds
5,5,30-04-2020 10:19:46,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,2 гр,0.0075,5158,1904,171,70.0,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
6,6,30-04-2020 10:19:46,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.009000000000000001,6264,2312,207,85.0,True,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
7,7,30-04-2020 10:19:46,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,True,5,нет,Тбилиси,3 гр,0.0138,9580,3536,317,130.0,,,,,,,,,,3 G Hybrid Marijuana Big Buds
8,8,30-04-2020 10:19:46,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,2,нет,Тбилиси,3 гр,0.0112,7737,2856,256,105.0,,,,,,,,,,3x Extasy Duracell 223mg MDMA
9,9,30-04-2020 10:19:46,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 3g TOP VHQ,True,11,нет,Тбилиси,3 гр,0.0106,7369,2720,244,100.0,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
10,10,30-04-2020 10:19:46,Tbilisi,dd631c4acf,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,True,1,нет,Тбилиси,3 гр,0.0123,8474,3128,280,115.0,,,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
11,11,30-04-2020 10:19:46,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.0325,23581,8704,780,320.0,,,,,,,,,,"5 Grm MDMA , Purity A +++"
12,12,30-04-2020 10:19:46,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0315,22107,8160,731,300.0,,,,,,,,,,5 Grm Mdma Pure Quality A +++
13,13,30-04-2020 10:19:46,Tbilisi,bb1791277e,5gr NORTHEN LIGHTS marijuana LEAVES листя если платите с бтк скидка 10% !!,True,3,нет,Тбилиси,5 гр,0.0063,4348,1605,144,59.0,,,,,,,,,,5gr NORTHEN LIGHTS marijuana LEAVES listja esli platite s btk skidka 10% !!
14,14,30-04-2020 10:19:46,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA. Технический универ,True,2,нет,Тбилиси,5 гр,0.0187,12896,4760,426,175.0,,,,,,,,,,5x Extasy Duracell 223mg MDMA. Tehnicheskij univer
15,15,30-04-2020 10:19:46,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 5g TOP VHQ,True,4,нет,Тбилиси,5 гр,0.0169,11790,4352,390,160.0,,,,,,,,,,AKA-47 ONLY BUDS 5g TOP VHQ
16,16,30-04-2020 10:19:46,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,,5,нет,Тбилиси,10 гр,0.0221,15401,5685,509,209.0,,True,,,,,,,,10 gr marijuana buds. -indica-
17,17,30-04-2020 10:19:46,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 10g TOP VHQ,True,2,нет,Тбилиси,10 гр,0.0318,22107,8160,731,300.0,,,,,,,,,,AKA-47 ONLY BUDS 10g TOP VHQ
18,18,30-04-2020 10:19:46,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0407,29476,10880,974,400.0,,,,,,,,,,gashish evro 10g
19,19,30-04-2020 10:19:46,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),,1,нет,Тбилиси,20 гр,0.0429,29844,11016,987,405.0,,,True,,,,,,,20 gr Indica marijuana buds (hight quality)
20,20,30-04-2020 10:19:46,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.079,57257,21134,1893,777.0,,,,,,,,,,Gashish Evro 20gr
21,21,30-04-2020 10:19:46,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1926,147379,54400,4872,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
22,22,30-04-2020 10:19:46,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.17 грамм",True,нет,20,Тбилиси,0.17 гр,0.0039,2727,1006,90,37.0,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.17 gramm"
23,23,30-04-2020 10:19:46,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",True,нет,2,Тбилиси,1 гр,0.0143,9948,3672,329,135.0,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
24,24,30-04-2020 10:19:46,Tbilisi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.0345,26416,9735,875,,,,,330.0,,,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
25,25,30-04-2020 10:19:46,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,6,Тбилиси,2 гр,0.0225,15475,5712,512,210.0,,,,,,,,,,✨✨2gram. MDMA✨✨
26,26,30-04-2020 10:19:46,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,8,Тбилиси,2 гр,0.0395,27191,10037,899,369.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
27,27,30-04-2020 10:19:46,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0619,42666,15749,1411,579.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
28,28,30-04-2020 10:19:46,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0424,29476,10880,974,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
29,29,30-04-2020 10:19:46,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0583,40529,14960,1340,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
30,30,30-04-2020 10:19:46,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,4,Тбилиси,5 гр,0.018000000000000002,12527,4624,414,170.0,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
31,31,30-04-2020 10:19:46,Tbilisi,8ddca45a78,5g WEED MIX / выбери свои сорта,True,нет,3,Тбилиси,5 гр,0.0231,16064,5930,531,218.0,,,,,,,,,,5g WEED MIX / vyberi svoi sorta
32,32,30-04-2020 10:19:46,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0211,14664,5413,485,199.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
33,33,30-04-2020 10:19:46,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0211,14664,5413,485,199.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
34,34,30-04-2020 10:20:17,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0211,16138,5957,534,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
35,35,30-04-2020 10:20:17,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0211,14664,5413,485,199.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
36,36,30-04-2020 10:20:17,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2483,190000,87429,6283,,,,,,,,,,,reagent 25i nbome. 5gr
37,37,30-04-2020 10:20:17,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2889,221068,81600,7308,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
38,38,30-04-2020 10:20:17,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.1026,70668,26085,2336,959.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
39,39,30-04-2020 10:20:17,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,5,Тбилиси,5 гр,0.0202,13927,5141,460,189.0,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
40,40,30-04-2020 10:20:17,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0203,14001,5168,463,190.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
