,Unnamed: 0,time_stamp,region,sell_code,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Дигоми,Vazisubani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,0,30-05-2020 03:15:25,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый !!! BTC SALE 5%!!!! SALE !!!!,True,2,нет,Тбилиси,0.25 гр,0.0102,7004,2678,239,99.0,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj !!! BTC SALE 5%!!!! SALE !!!!
1,1,30-05-2020 03:15:25,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g.,,8,нет,Тбилиси,0.25 гр,0.0105,7075,2705,241,100.0,True,,,,,,,,,,Iranian Sirec 0.25g.
2,2,30-05-2020 03:15:25,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,,10,нет,Тбилиси,0.5 гр,0.0169,11250,4301,383,159.0,True,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
3,3,30-05-2020 03:15:25,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,,7,нет,Тбилиси,1 гр,0.0317,21155,8088,721,299.0,True,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
4,4,30-05-2020 03:15:25,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.086,63677,24345,2169,900.0,True,,,,,,,,,,Metadon 1gr
5,5,30-05-2020 03:15:25,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 200ug from California 1pc🌈🌈🌈🧞‍♀️,True,7,нет,Тбилиси,1 гр,0.0052,3467,1325,118,49.0,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 200ug from California 1pc🌈🌈🌈🧞‍♀️
6,6,30-05-2020 03:15:25,Tbilisi,be97026d1d,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!,,1,нет,Тбилиси,3 гр,0.0201,13797,5275,470,195.0,,True,,,,,,,,,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!
7,7,30-05-2020 03:15:25,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,,8,нет,Тбилиси,3 гр,0.0126,8419,3219,287,119.0,True,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
8,8,30-05-2020 03:15:25,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,,2,нет,Тбилиси,5 гр,0.0312,21226,8115,723,300.0,True,,,,,,,,,,5 Grm Mdma Pure Quality A +++
9,9,30-05-2020 03:15:25,Tbilisi,7c395c455d,10 gr марихуана листья top гибрид,,20,нет,Тбилиси,10 гр,0.0105,7075,2705,241,100.0,True,,True,,,,,,,,10 gr marihuana list'ja top gibrid
10,10,30-05-2020 03:15:25,Tbilisi,9610a68a0a,GABAGAMA 20 SHTUK,,5,нет,Тбилиси,20 гр,0.0034,2547,974,87,36.0,True,,,,,,,,,,GABAGAMA 20 SHTUK
11,11,30-05-2020 03:15:25,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0784,54974,21018,1873,777.0,True,,,,,,,,,,Gashish Evro 20gr
12,12,30-05-2020 03:15:25,Tbilisi,9610a68a0a,GABAGAMA 50 SHTUK,,2,нет,Тбилиси,50 гр,0.0076,5660,2164,193,80.0,True,,,,,,,,,,GABAGAMA 50 SHTUK
13,13,30-05-2020 03:15:25,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.1911,141504,54100,4820,2000.0,True,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
14,14,30-05-2020 03:15:25,Tbilisi,9610a68a0a,GABAGAMA 150 shtuk,,1,нет,Тбилиси,150 гр,0.0177,13089,5004,446,185.0,True,,,,,,,,,,GABAGAMA 150 shtuk
15,15,30-05-2020 03:15:25,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,5,Тбилиси,2 гр,0.0223,14858,5681,506,210.0,True,,,,,,,,,,✨✨2gram. MDMA✨✨
16,16,30-05-2020 03:15:25,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,7,Тбилиси,2 гр,0.0392,26107,9981,889,369.0,True,,,,,,,,,,❄❄2g HQ COCAINE❄❄
17,17,30-05-2020 03:15:25,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,7,Тбилиси,3 гр,0.0615,40965,15662,1395,579.0,True,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
