,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Дигоми,Vazisubani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,30-05-2020 13:06:59,Tbilisi,C36EL,TripGuru,Iranian Sirec 0.25g.,True,5,нет,Тбилиси,0.25 гр,0.0105,7075,2705,241,100,,,,,,,,,,,Iranian Sirec 0.25g.
1,30-05-2020 13:06:59,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,9,нет,Тбилиси,0.5 гр,0.0168,11250,4301,383,159,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,30-05-2020 13:06:59,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,7,нет,Тбилиси,1 гр,0.0316,21155,8088,721,299,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
3,30-05-2020 13:06:59,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0856,63677,24345,2169,900,,,,,,,,,,,Metadon 1gr
4,30-05-2020 13:06:59,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 200ug from California 1pc🌈🌈🌈🧞‍♀️,,8,нет,Тбилиси,1 гр,0.0052,3467,1325,118,49,True,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 200ug from California 1pc🌈🌈🌈🧞‍♀️
5,30-05-2020 13:06:59,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,True,10,нет,Тбилиси,2 гр,0.0092,6226,2380,212,88,,,,,,,,,,,2gr HYBRID buds
6,30-05-2020 13:06:59,Tbilisi,EIH4,San4oPan4o,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!,,2,нет,Тбилиси,3 гр,0.02,13797,5275,470,195,,True,,,,,,,,,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!
7,30-05-2020 13:06:59,Tbilisi,LYHBG,Playboy,3 ECSTASY << PACO RABANNE >>,True,8,нет,Тбилиси,3 гр,0.0126,8419,3219,287,119,,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
8,30-05-2020 13:06:59,Tbilisi,7LHWP,GEOBUDS,3 gr georgian weed. Package on magnet,True,4,нет,Тбилиси,3 гр,0.0091,6155,2353,210,87,,,,,,,,,,,3 gr georgian weed. Package on magnet
9,30-05-2020 13:06:59,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Package on magnet,True,4,нет,Тбилиси,10 гр,0.0229,15495,5924,528,219,,,,,,,,,,,10 gr georgian weed. Package on magnet
