,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Saburtalo,Дигоми,Vazisubani,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
0,0,30-05-2020 22:03:53,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g.,True,2,нет,Тбилиси,0.25 гр,0.0105,7075,2705,241,100.0,,,,,,,,,,,Iranian Sirec 0.25g.
1,1,30-05-2020 22:03:53,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,4,нет,Тбилиси,0.5 гр,0.0169,11250,4301,383,159.0,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,2,30-05-2020 22:03:53,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,6,нет,Тбилиси,1 гр,0.0317,21155,8088,721,299.0,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
3,3,30-05-2020 22:03:53,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0859,63677,24345,2169,900.0,,,,,,,,,,,Metadon 1gr
4,4,30-05-2020 22:03:53,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 200ug from California 1pc🌈🌈🌈🧞‍♀️,,2,нет,Тбилиси,1 гр,0.0052,3467,1325,118,49.0,True,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 200ug from California 1pc🌈🌈🌈🧞‍♀️
5,5,30-05-2020 22:03:53,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,True,5,нет,Тбилиси,2 гр,0.0094,6297,2407,214,89.0,,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
6,6,30-05-2020 22:03:53,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,True,1,нет,Тбилиси,2 гр,0.0494,33253,12714,1133,470.0,,,,,,,,,,,Cocaine Pure VHQ 2 g
7,7,30-05-2020 22:03:53,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0507,34527,13200,1176,488.0,,,,,,,,,,,VHQ BEST Cocaine 2g.
8,8,30-05-2020 22:03:53,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0089,6014,2299,205,85.0,,True,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
9,9,30-05-2020 22:03:53,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,3,нет,Тбилиси,3 гр,0.0126,8419,3219,287,119.0,,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
