,Unnamed: 0,time_stamp,region,sell_code,description,Батуми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Центр,Кутаиси,desc_en
0,0,31-01-2020 13:30:03,Batumi,012f23b5ea,Power Africa 1g,True,1,нет,Батуми,1 гр,0.0047,3157,1253,107,50.0,,,Power Africa 1g
1,1,31-01-2020 13:30:03,Batumi,d4df7908c3,"Шишки Pinеapple Express, 1гр --- Клады в подъездах!",,1,нет,Батуми,1 гр,0.0051,3094,1227,105,49.0,True,,"Shishki Pineapple Express, 1gr --- Klady v pod'ezdah!"
2,2,31-01-2020 13:30:03,Batumi,3c4662c591,Hybrid Marijuana High Quality 2G,,2,нет,Батуми,2 гр,0.0083,5051,2004,171,80.0,True,,Hybrid Marijuana High Quality 2G
3,3,31-01-2020 13:30:03,Batumi,c225d2f67d,Гашиш Евро 3гр,True,1,нет,Батуми,3 гр,0.0158,9786,3883,331,155.0,,,Gashish Evro 3gr
4,4,31-01-2020 13:30:03,Batumi,d4df7908c3,"Шишки OGKZ, 3гр.",,1,нет,Батуми,3 гр,156.4123,94076365,37324500,3185173,1490000.0,True,,"Shishki OGKZ, 3gr."
5,5,31-01-2020 13:30:03,Batumi,c225d2f67d,Гашиш Евро 4гр,True,1,нет,Батуми,4 гр,0.0204,12628,5010,428,200.0,,,Gashish Evro 4gr
6,6,31-01-2020 13:30:03,Batumi,16be2c8499,Мощные жирные марки 25i nbome 50шт. Готовые клады в Грузии от производителя!,True,1,нет,Батуми,50 гр,0.0321,21467,8517,727,340.0,,,Moschnye zhirnye marki 25i nbome 50sht. Gotovye klady v Gruzii ot proizvoditelja!
7,7,31-01-2020 13:30:03,Batumi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.15 G,True,нет,5,Батуми,0.15 гр,0.0157,9471,3758,321,150.0,,,Metadon - (KRISTAL) - VHQ - 0.15 G
8,8,31-01-2020 13:30:03,Batumi,f8a875c191,METADON - VHQ - (KRISTAL) - 0.27 G - (BATUMI - KOBULETI - KHELVACHAURI),True,2,10,Батуми,0.27 гр,0.0262,15785,6263,534,250.0,,,METADON - VHQ - (KRISTAL) - 0.27 G - (BATUMI - KOBULETI - KHELVACHAURI)
9,9,31-01-2020 13:30:03,Batumi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,нет,5,Батуми,0.35 гр,0.0367,22098,8768,748,350.0,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
10,10,31-01-2020 13:30:03,Batumi,3a2bf2dc7c,suboxine HQ -1 G,,3,4,Батуми,1 гр,0.0099,5998,2380,203,95.0,True,,suboxine HQ -1 G
11,11,31-01-2020 13:30:03,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,19,Батуми,5 гр,0.0189,12628,5010,428,200.0,,,Metamfetamin ratsemat 5 g. (MQ)
12,12,31-01-2020 13:30:03,Batumi,30f48d507d,Hybrid Skunk! 50 gr,True,нет,2,Батуми,50 гр,0.0987,59982,23798,2031,950.0,,,Hybrid Skunk! 50 gr
13,13,31-01-2020 13:30:03,Batumi,30f48d507d,Hybrid Skunk! 100 gr,True,нет,1,Батуми,100 гр,0.1871,113649,45090,3848,1800.0,,,Hybrid Skunk! 100 gr
14,14,31-01-2020 13:30:03,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,2,Батуми,100 гр,0.3149,189416,75150,6413,3000.0,,,SUBOXIN - HQ - 100 G.
15,15,31-01-2020 13:30:03,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,5,Батуми,150 гр,0.2624,157846,62625,5344,2500.0,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
