,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,€,Old Tbilisi (Старый город),Авлобари,Varketili,Vake,Центр,Батуми,desc_en
0,0,31-07-2020 01:13:50,Tbilisi,e771f4c371,!!!NEW!!! AmneziaXSkittels 0.5G IMPORT,True,2,нет,Тбилиси,0.5 гр,0.0031,2568,977,85,35.0,,,,,,,,,,!!!NEW!!! AmneziaXSkittels 0.5G IMPORT
1,1,31-07-2020 01:13:51,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,,6,нет,Тбилиси,0.5 гр,0.003,2421,921,80,33.0,True,,,,,,,,,0.5 gr HYBRID buds
2,2,31-07-2020 01:13:51,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,,15,нет,Тбилиси,0.5 гр,0.0027,2201,837,73,30.0,True,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
3,3,31-07-2020 01:13:51,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,True,6,нет,Тбилиси,1 гр,0.0053,4328,1646,143,59.0,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
4,4,31-07-2020 01:13:51,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,2,нет,Тбилиси,1 гр,0.0053,4328,1646,143,59.0,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
5,5,31-07-2020 01:13:51,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,2,нет,Тбилиси,1 гр,0.0053,4328,1646,143,59.0,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
6,6,31-07-2020 01:13:51,Tbilisi,4659482266,1 г.Super Skunk top class buds! (подезд),,5,нет,Тбилиси,1 гр,0.005,4035,1535,133,55.0,,True,,,,,,,,1 g.Super Skunk top class buds! (podezd)
7,7,31-07-2020 01:13:51,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,2,нет,Тбилиси,1 гр,0.0054,4402,1674,145,60.0,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
8,8,31-07-2020 01:13:51,Tbilisi,0dec0e1c48,1gr HYBRID o.g,,30,нет,Тбилиси,1 гр,0.0044,3595,1367,118,49.0,True,,,,,,,,,1gr HYBRID o.g
9,9,31-07-2020 01:13:51,Tbilisi,e56bb6ca93,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,9,нет,Тбилиси,1 гр,0.0044,3595,1367,118,49.0,True,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
10,10,31-07-2020 01:13:51,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,,17,нет,Тбилиси,1 гр,0.0041,3375,1283,111,46.0,True,,,,,,,,,Amsterdam weed sativa 1gr
11,11,31-07-2020 01:13:51,Tbilisi,d04eeb6525,Hybrid Bomba 1 г. TOP BUDS,,1,нет,Тбилиси,1 гр,0.0045,4035,1535,133,55.0,True,,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
12,12,31-07-2020 01:13:51,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 1G,,2,нет,Тбилиси,1 гр,0.0045,3668,1395,121,50.0,True,,,,,,,,,VHQ Hybrid MJ Buds 1G
13,13,31-07-2020 01:13:51,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,4,нет,Тбилиси,2 гр,0.0107,8804,3348,290,120.0,True,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
14,14,31-07-2020 01:13:51,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,2 гр,0.0107,8804,3348,290,120.0,True,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
15,15,31-07-2020 01:13:51,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,4,нет,Тбилиси,2 гр,0.009000000000000001,7336,2790,242,100.0,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
16,16,31-07-2020 01:13:51,Tbilisi,bb1791277e,2gr Amnesia Haze Auto сжатая марихуана BUDS,,1,нет,Тбилиси,2 гр,0.0107,8804,3348,290,120.0,True,,,,,,,,,2gr Amnesia Haze Auto szhataja marihuana BUDS
17,17,31-07-2020 01:13:51,Tbilisi,0dec0e1c48,2gr HYBRID buds,,1,нет,Тбилиси,2 гр,0.0079,6456,2455,213,88.0,True,,,,,,,,,2gr HYBRID buds
18,18,31-07-2020 01:13:51,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,,1,нет,Тбилиси,2 гр,0.0107,8804,3348,290,120.0,True,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
19,19,31-07-2020 01:13:51,Tbilisi,83f3d55917,!!! NEW !!! 3G Jack Herer(VHQ 24%THC) Special Offer !! Special Prices for Our Costumers,True,1,нет,Тбилиси,3 гр,0.0107,8804,3348,290,120.0,,,,,,,,,,!!! NEW !!! 3G Jack Herer(VHQ 24%THC) Special Offer !! Special Prices for Our Costumers
20,20,31-07-2020 01:13:51,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm,,2,нет,Тбилиси,3 гр,0.0073,6603,2511,218,90.0,True,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
21,21,31-07-2020 01:13:51,Tbilisi,97d5fcd29b,Suboxene 4mg,,1,нет,Тбилиси,4 гр,0.0047,4035,1535,133,55.0,True,,,,,,,,,Suboxene 4mg
22,22,31-07-2020 01:13:51,Tbilisi,7bd1a5deba,11+ GRAMM BEASTWEED NEW,,1,нет,Тбилиси,11 гр,0.0146,13205,5022,435,180.0,True,,,,,,,,,11+ GRAMM BEASTWEED NEW
23,23,31-07-2020 01:13:51,Tbilisi,52fe6d0af9,VHQ Methadon 1G max 12 Hours for adrss,,нет,1,Тбилиси,1 гр,0.0895,73363,27900,2418,1000.0,True,,,,,,,,,VHQ Methadon 1G max 12 Hours for adrss
24,24,31-07-2020 01:13:51,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,3,Тбилиси,1 гр,0.0329,26739,10168,881,,True,,310.0,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
25,25,31-07-2020 01:13:51,Tbilisi,7c395c455d,10 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,5,Тбилиси,4 гр,0.0358,29345,11160,967,400.0,True,,,,,,,,,10 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
26,26,31-07-2020 01:13:51,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0224,18341,6975,605,250.0,True,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
27,27,31-07-2020 01:13:51,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.0242,19808,7533,653,270.0,True,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
28,28,31-07-2020 01:13:51,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0246,20175,7673,665,275.0,True,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
29,29,31-07-2020 01:13:51,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0215,17607,6696,580,240.0,True,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
30,30,31-07-2020 01:13:51,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,6,Тбилиси,5 гр,0.0251,20542,7812,677,280.0,True,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
31,31,31-07-2020 01:13:51,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0242,19808,7533,653,270.0,True,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
32,32,31-07-2020 01:13:51,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0178,16067,6110,530,219.0,True,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
33,33,31-07-2020 01:13:51,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",,нет,2,Тбилиси,5 гр,0.021,17240,6557,568,235.0,True,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
34,34,31-07-2020 01:13:51,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 5гр",,нет,2,Тбилиси,5 гр,0.0195,17607,6696,580,240.0,True,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
35,35,31-07-2020 01:15:40,Tbilisi,ae784bef73,NEW ! Silver Haze NEW ! HQ BUDS 5G,,нет,3,Тбилиси,5 гр,0.021,17240,6557,568,235.0,True,,,,,,,,,NEW ! Silver Haze NEW ! HQ BUDS 5G
36,36,31-07-2020 01:15:40,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0241,19808,7533,653,270.0,True,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
37,37,31-07-2020 01:15:40,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2104,190000,87429,6358,,True,,,,,,,,,reagent 25i nbome. 5gr
38,38,31-07-2020 01:15:40,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2438,220090,83700,7254,3000.0,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
39,39,31-07-2020 01:15:40,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,нет,1,Тбилиси,5 гр,0.0212,17251,6560,568,,True,,200.0,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
40,40,31-07-2020 01:15:40,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0492,40350,15345,1330,550.0,True,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
41,41,31-07-2020 01:15:40,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0626,51354,19530,1693,700.0,True,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
42,42,31-07-2020 01:15:40,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0375,30813,11718,1016,420.0,True,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
43,43,31-07-2020 01:15:40,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0715,58691,22320,1934,800.0,True,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
44,44,31-07-2020 01:15:40,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,нет,8,Тбилиси,10 гр,0.0375,30813,11718,1016,420.0,True,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
45,45,31-07-2020 01:15:40,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.1989,163233,62078,5380,2225.0,True,,,,,,,,,Amfetamin [White] [Import] 10G
46,46,31-07-2020 01:15:40,Tbilisi,ccc85b93d8,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬,,нет,1,Тбилиси,10 гр,0.0366,30079,11439,991,410.0,True,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬
