,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,€,Old Tbilisi (Старый город),Авлобари,Varketili,Vake,Центр,Батуми,desc_en
0,31-07-2020 05:45:50,Tbilisi,9R7SU,ClownBaroN,!!!NEW!!! AmneziaXSkittels 0.5G IMPORT,True,1,нет,Тбилиси,0.5 гр,0.0032,2568,977,85,35,,,,,,,,,,!!!NEW!!! AmneziaXSkittels 0.5G IMPORT
1,31-07-2020 05:45:50,Tbilisi,OX85,amnesia420,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)",,1,нет,Тбилиси,0.5 гр,0.0027,2201,837,73,30,True,,,,,,,,,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)"
2,31-07-2020 05:45:50,Tbilisi,OX85,amnesia420,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)",,4,нет,Тбилиси,0.5 гр,0.0027,2201,837,73,30,True,,,,,,,,,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)"
3,31-07-2020 05:45:50,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,,4,нет,Тбилиси,0.5 гр,0.003,2421,921,80,33,True,,,,,,,,,0.5 gr HYBRID buds
4,31-07-2020 05:45:50,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 0.5G,,7,нет,Тбилиси,0.5 гр,0.0031,2494,949,83,34,True,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
5,31-07-2020 05:45:50,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 0.5G,,16,нет,Тбилиси,0.5 гр,0.0027,2201,837,73,30,True,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
6,31-07-2020 05:45:50,Tbilisi,SF03,CRAZYFROG,1 gr top buds white widow wишки THC 25% VHQ,True,6,нет,Тбилиси,1 гр,0.0053,4328,1646,144,59,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
7,31-07-2020 05:45:50,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,2,нет,Тбилиси,1 гр,0.0053,4328,1646,144,59,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
8,31-07-2020 05:45:50,Tbilisi,3Y9,HIGHTHC,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,2,нет,Тбилиси,1 гр,0.0053,4328,1646,144,59,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
9,31-07-2020 05:45:50,Tbilisi,QUZIV,Hollyweed,1 г.Super Skunk top class buds! (подезд),,5,нет,Тбилиси,1 гр,0.005,4035,1535,134,55,,True,,,,,,,,1 g.Super Skunk top class buds! (podezd)
10,31-07-2020 05:45:50,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,,10,нет,Тбилиси,1 гр,0.0355,28538,10853,949,389,True,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
11,31-07-2020 05:45:50,Tbilisi,SF03,CRAZYFROG,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,3,нет,Тбилиси,1 гр,0.0054,4402,1674,146,60,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
12,31-07-2020 05:45:50,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,,29,нет,Тбилиси,1 гр,0.0044,3595,1367,120,49,True,,,,,,,,,1gr HYBRID o.g
13,31-07-2020 05:45:50,Tbilisi,8B31,GEOWEEDSHOP,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,8,нет,Тбилиси,1 гр,0.0044,3595,1367,120,49,True,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
14,31-07-2020 05:45:50,Tbilisi,42AF,Leningrad6,Amsterdam weed sativa 1гр,,17,нет,Тбилиси,1 гр,0.0042,3375,1283,112,46,True,,,,,,,,,Amsterdam weed sativa 1gr
15,31-07-2020 05:45:50,Tbilisi,5LZ,ExtraShop,Hybrid Bomba 1 г. TOP BUDS,,1,нет,Тбилиси,1 гр,0.0045,4035,1535,134,55,True,,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
16,31-07-2020 05:45:50,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 1G,,2,нет,Тбилиси,1 гр,0.0045,3668,1395,122,50,True,,,,,,,,,VHQ Hybrid MJ Buds 1G
17,31-07-2020 05:45:50,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,4,нет,Тбилиси,2 гр,0.0109,8804,3348,293,120,True,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
18,31-07-2020 05:45:50,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,2 гр,0.0109,8804,3348,293,120,True,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
19,31-07-2020 05:45:50,Tbilisi,3Y9,HIGHTHC,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,2 гр,0.009,7336,2790,244,100,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
20,31-07-2020 05:45:50,Tbilisi,BB6E,WEEDSH0P,2gr Amnesia Haze Auto сжатая марихуана BUDS,,1,нет,Тбилиси,2 гр,0.0109,8804,3348,293,120,True,,,,,,,,,2gr Amnesia Haze Auto szhataja marihuana BUDS
21,31-07-2020 05:45:50,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,,1,нет,Тбилиси,2 гр,0.008,6456,2455,215,88,True,,,,,,,,,2gr HYBRID buds
22,31-07-2020 05:45:50,Tbilisi,BB6E,WEEDSH0P,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,,1,нет,Тбилиси,2 гр,0.0109,8804,3348,293,120,True,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
23,31-07-2020 05:45:50,Tbilisi,03F3,geoshop,5 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 2g,,6,нет,Тбилиси,2 гр,0.0181,14673,5580,488,200,True,,,,,,,,,5 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 2g
24,31-07-2020 05:45:50,Tbilisi,X4ZM,ZYX,Maserati (ecstasy) 2шт,,4,нет,Тбилиси,2 гр,0.009,7336,2790,244,100,True,,,,,,,,,Maserati (ecstasy) 2sht
25,31-07-2020 05:45:50,Tbilisi,LGRP8,Walker12,!!! NEW !!! 3G Jack Herer(VHQ 24%THC) Special Offer !! Special Prices for Our Costumers,True,1,нет,Тбилиси,3 гр,0.0109,8804,3348,293,120,,,,,,,,,,!!! NEW !!! 3G Jack Herer(VHQ 24%THC) Special Offer !! Special Prices for Our Costumers
