,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Saburtalo,Gldani,Дигоми,€,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Центр,Батуми,desc_en
0,0,31-07-2020 19:59:39,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,5,нет,Тбилиси,0.5 гр,0.0029,2423,919,80,33.0,,,,,,,,,,,,0.5 gr HYBRID buds
1,1,31-07-2020 19:59:39,Tbilisi,21de5577be,0.5 gr. AK-47 (60/40 Sativa/Indica),,2,нет,Тбилиси,0.5 гр,0.0025,2129,808,71,29.0,True,,,,,,,,,,,0.5 gr. AK-47 (60/40 Sativa/Indica)
2,2,31-07-2020 19:59:39,Tbilisi,21de5577be,0.5 gr. Amnesia Haze 100% Natural / Sativa,,5,нет,Тбилиси,0.5 гр,0.0027,2276,864,76,31.0,,True,,,,,,,,,,0.5 gr. Amnesia Haze 100% Natural / Sativa
3,3,31-07-2020 19:59:39,Tbilisi,4659482266,0.5 г.Super Skunk top class buds! (подезд),,1,нет,Тбилиси,0.5 гр,0.0027,2276,864,76,31.0,,,True,,,,,,,,,0.5 g.Super Skunk top class buds! (podezd)
4,4,31-07-2020 19:59:39,Tbilisi,16a8841259,0.5г Northen Light,True,7,нет,Тбилиси,0.5 гр,0.0027,2276,864,76,31.0,,,,,,,,,,,,0.5g Northen Light
5,5,31-07-2020 19:59:39,Tbilisi,16a8841259,0.5г Skunk,True,8,нет,Тбилиси,0.5 гр,0.0027,2276,864,76,31.0,,,,,,,,,,,,0.5g Skunk
6,6,31-07-2020 19:59:39,Tbilisi,e771f4c371,CLOWNBARON ШИШКИ 0.5Г *VHQ*,,9,нет,Тбилиси,0.5 гр,0.0031,2570,975,85,35.0,,True,,,,,,,,,,CLOWNBARON ShIShKI 0.5G *VHQ*
7,7,31-07-2020 19:59:39,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,6,нет,Тбилиси,0.5 гр,0.003,2496,947,83,34.0,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
8,8,31-07-2020 19:59:39,Tbilisi,16a8841259,Tangerine 0.5г,True,13,нет,Тбилиси,0.5 гр,0.0028,2350,892,78,32.0,,,,,,,,,,,,Tangerine 0.5g
9,9,31-07-2020 19:59:39,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,True,15,нет,Тбилиси,0.5 гр,0.0026,2203,836,73,30.0,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
10,10,31-07-2020 19:59:39,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,6,нет,Тбилиси,1 гр,0.0052,4406,1672,146,60.0,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
11,11,31-07-2020 19:59:39,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,5,нет,Тбилиси,1 гр,0.0052,4406,1672,146,60.0,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
